/id,/fields/Annotation Summary,/fields/State,/fields/States Daily Column,/fields/Metric,/fields/Annotation,/fields/Evidence For,/fields/Evidence Type,/fields/Evidence,/fields/Evidence Source Link,/fields/Last Checked,/createdTime,/fields/Media/Outreach As Of,/fields/Media/Outreach Out of Date,/fields/MetricTitle,/fields/Excludes
rec1zM6fS9rgGJyQP,"viral RNA, antigen according to website",AL,Total PCR Tests (People),"AL dash > ""Total Tested"" > ""Diagnostic"" ","viral RNA, antigen",Test Type,website,"""unique individuals tested with either diagnostic test (molecular or antigen test) that were reported to the Alabama Department of Health.""",https://alpublichealth.maps.arcgis.com/apps/opsdashboard/index.html#/6d2771faa9da4a2786a509d82c8cf0f7,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recJIxKKlOMmvqMEs,viral RNA according to website,AR,Total Tests (PCR),"calculated: AR dash > tab""Tests"" > {""PCR Negatives"" + ""PCR Positives""} note: always use dash and never the graphic from the primary source",viral RNA,Test Type,website,Field names include PCR,https://experience.arcgis.com/experience/c2ef4a4fcbe5458fbf2e48a21e4fece9,2021-02-12,2021-01-28T21:51:47.000Z,,,,
reckDG30QgFOLkYtz,unclear test type according to website,AS,Total Tests (PCR),"AS updates their data infrequently through press releases, emergency declarations and news articles note: check each link for new data, no need to start a thread if there isn't any",unclear test type,Test Type,website,N/A,,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recsYspPR0Hz3U04o,"antigen, viral RNA according to website",AZ,Total PCR Tests (People),"AZ dash > tab ""Summary"" > ""Total COVID-19 Diagnostic Tests""","antigen, viral RNA",Test Type,website,"according to a footnote, includes both PCR and antigen testing",https://azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/covid-19/dashboards/index.php,2021-02-16,2021-01-28T21:51:47.000Z,,,,
rec0xNVvbU2khb2wB,unclear test type according to website,CA,Total Tests (PCR),"CA dash > ""California Testing Results""",unclear test type,Test Type,website,"evidence link > section Data Dictionaries > Lab Testing Data 
Defined as ""cumulative tests reported by all labs"" with no further information on the type of tests.",https://covid19.ca.gov/data-and-tools/,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recOYQmaH6ERaMiDg,viral RNA according to website,IA,Total PCR Tests (People),"IA dash > tab ""Positive Case Analysis"" > title ""PCR"" > ""Individuals Tested""",viral RNA,Test Type,website,Broken down by PCR and antigen.,https://coronavirus.iowa.gov/pages/case-counts,2021-02-16,2021-01-28T21:51:47.000Z,,,,
rec7Vx7PV1et9xQLP,viral RNA according to website,CO,Total Test Encounters (PCR),"CO primary > ""Test Encounters""",viral RNA,Test Type,website,"Matches the cumulative number by summing CDPHE labs and commercial labs on the ""Cumulative COVID-19 PCR Test Data"" chart under the ""Tests"" snapshot.",https://covid19.colorado.gov/data,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recSkOlcLQoPBPHuD,"viral RNA, antigen according to website",CT,Total Tests (PCR),"CT primary > table ""Connecticut COVID-19 Summary"" > row ""COVID-19 Tests Reported (molecular and antigen)"" > ""Total"" ","viral RNA, antigen",Test Type,website,"Connecticut's ""COVID-19 Summary"" section on its COVID-19 data tracker page calls its total tests ""COVID-19 molecular and antigen"" tests. They don't seem to report antigen alone anymore.",https://portal.ct.gov/Coronavirus/COVID-19-Data-Tracker,2021-02-16,2021-01-28T21:51:47.000Z,,,,
rec6OpcAOJq0n5Rn2,unclear test type according to website,DC,Total Test Encounters (PCR),"DC primary > ""Total Overall Number of Tests"" ",unclear test type,Test Type,website,There are no details on the dashboard or anywhere else.,https://coronavirus.dc.gov/data,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recKVfUaQ7FeCZ9vC,unclear test type according to website,DC,Total PCR Tests (People),"DC primary > ""Total Number of DC Residents Tested"" note: although it appears this number contrasts with the other one only due to resident vs. nonresident, we know from outreach it also differs in unit. that is why it is stored in unique people",unclear test type,Test Type,website,No evidence on website of what kind of test type this is on the dashboard.,https://coronavirus.dc.gov/data,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recjW0FTZAiiXUz3l,unclear test type according to website,DE,Total PCR Tests (People),"DE dash > title ""Key Public Health Metrics"" > click ""More Tests Data"" > section ""Testing Totals in State of Delaware"" > tab ""Total Persons Tested"" > ""State of Delaware""",unclear test type,Test Type,website,"Deleware calls its total tests ""Total Persons Tested"" on its dashboard without specifying the type of test.",https://myhealthycommunity.dhss.delaware.gov/locations/state,2021-02-12,2021-01-28T21:51:47.000Z,,,,
