fips_code,state,state_name,cbsa_code,county,new_cases_week_over_week_percent_change,new_cases_7_day_rolling_average,new_cases_per_100k_7_day_rolling_average,new_deaths_7_day_rolling_average,new_deaths_week_over_week_percent_change,new_deaths_per_100k_7_day_rolling_average,daily_cli_7_day_rolling_average,daily_cli_percentage_7_day_rolling_average,daily_ili_7_day_rolling_average,daily_ili_percentage_7_day_rolling_average,new_test_results_reported,new_test_results_reported_7_day_rolling_average,percent_new_test_results_reported_positive_7_day_rolling_average,percent_positive_7_day,total_test_results_reported_week_over_week_count_change,testing_suppressed,total_hospitals_reporting,admissions_covid_confirmed_last_7_days,admissions_covid_confirmed_7_day_rolling_average,admissions_covid_confirmed_last_7_days_per_100_beds,admissions_covid_confirmed_week_over_week_percent_change,percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_inpatient_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_icu_beds_used_confirmed_covid,cbsa_daily_cli_7_day_rolling_average,cbsa_daily_cli_percentage_7_day_rolling_average,cbsa_daily_ili_7_day_rolling_average,cbsa_daily_ili_percentage_7_day_rolling_average,date,report_date_window_start,report_date_window_end,community_transmission_level
10001,DE,,,Kent County,-55.76,17.0,,1.29,,,,,,,,241.14,17.12,,,,,,,,,,,,,,,,,,,2020-05-05,2020-04-29,2020-05-05,
10001,DE,,,Kent County,-38.69,12.0,,1.0,,,,,,,,255.29,10.36,,,,,,,,,,,,,,,,,,,2020-06-01,2020-05-26,2020-06-01,
10001,DE,,,Kent County,-38.33,21.14,,1.14,,,,,,,,295.57,15.66,,,,,,,,,,,,,,,,,,,2020-05-06,2020-04-30,2020-05-06,
10001,DE,,,Kent County,-33.13,15.86,,0.86,,,,,,,,345.14,10.02,,,,,,,,,,,,,,,,,,,2020-05-28,2020-05-22,2020-05-28,
10001,DE,,,Kent County,-32.87,13.71,,1.0,,,,,,,,236.43,11.88,,,,,,,,,,,,,,,,,,,2020-05-31,2020-05-25,2020-05-31,
10001,DE,,,Kent County,-30.26,19.43,,0.86,,,,,,,,132.29,25.38,,,,,,,,,,,,,,,,,,,2020-04-19,2020-04-13,2020-04-19,
10001,DE,,,Kent County,-30.0,15.0,,0.86,,,,,,,,346.0,10.14,,,,,,,,,,,,,,,,,,,2020-05-29,2020-05-23,2020-05-29,
10001,DE,,,Kent County,-28.57,18.57,,1.0,,,,,,,,137.43,26.63,,,,,,,,,,,,,,,,,,,2020-04-21,2020-04-15,2020-04-21,
10001,DE,,,Kent County,-28.4,17.29,,0.86,,,,,,,,318.86,10.56,,,,,,,,,,,,,,,,,,,2020-05-27,2020-05-21,2020-05-27,
10001,DE,,,Kent County,-27.23,19.86,,0.57,,,,,,,,204.71,11.13,,,,,,,,,,,,,,,,,,,2020-05-23,2020-05-17,2020-05-23,
