fips_code,state,state_name,cbsa_code,county,new_cases_week_over_week_percent_change,new_cases_7_day_rolling_average,new_cases_per_100k_7_day_rolling_average,new_deaths_7_day_rolling_average,new_deaths_week_over_week_percent_change,new_deaths_per_100k_7_day_rolling_average,daily_cli_7_day_rolling_average,daily_cli_percentage_7_day_rolling_average,daily_ili_7_day_rolling_average,daily_ili_percentage_7_day_rolling_average,new_test_results_reported,new_test_results_reported_7_day_rolling_average,percent_new_test_results_reported_positive_7_day_rolling_average,percent_positive_7_day,total_test_results_reported_week_over_week_count_change,testing_suppressed,total_hospitals_reporting,admissions_covid_confirmed_last_7_days,admissions_covid_confirmed_7_day_rolling_average,admissions_covid_confirmed_last_7_days_per_100_beds,admissions_covid_confirmed_week_over_week_percent_change,percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_inpatient_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_icu_beds_used_confirmed_covid,cbsa_daily_cli_7_day_rolling_average,cbsa_daily_cli_percentage_7_day_rolling_average,cbsa_daily_ili_7_day_rolling_average,cbsa_daily_ili_percentage_7_day_rolling_average,date,report_date_window_start,report_date_window_end,community_transmission_level
23001,ME,,,Androscoggin County,-100.0,0.0,,0.0,,,,,,,,11.25,3.57,,,,,,,,,,,,,,,,,,,2020-03-24,2020-03-18,2020-03-24,
23001,ME,,,Androscoggin County,-66.67,0.14,,0.0,,,,,,,,11.2,2.86,,,,,,,,,,,,,,,,,,,2020-03-25,2020-03-19,2020-03-25,
23001,ME,,,Androscoggin County,-66.67,0.71,,0.0,,,,,,,,21.29,2.26,,,,,,,,,,,,,,,,,,,2020-04-14,2020-04-08,2020-04-14,
23001,ME,,,Androscoggin County,-66.67,0.71,,0.0,,,,,,,,23.86,2.26,,,,,,,,,,,,,,,,,,,2020-04-13,2020-04-07,2020-04-13,
23001,ME,,,Androscoggin County,-61.54,0.71,,0.0,,,,,,,,23.86,1.7,,,,,,,,,,,,,,,,,,,2020-04-10,2020-04-04,2020-04-10,
23001,ME,,,Androscoggin County,-46.15,1.0,,0.0,,,,,,,,23.43,2.42,,,,,,,,,,,,,,,,,,,2020-04-11,2020-04-05,2020-04-11,
23001,ME,,,Androscoggin County,-43.93,8.57,,0.0,,,,,,,,98.86,6.59,,,,,,,,,,,,,,,,,,,2020-05-30,2020-05-24,2020-05-30,
23001,ME,,,Androscoggin County,-41.67,1.0,,0.0,,,,,,,,23.0,2.16,,,,,,,,,,,,,,,,,,,2020-04-16,2020-04-10,2020-04-16,
23001,ME,,,Androscoggin County,-37.5,0.71,,0.14,,,,,,,,44.57,2.16,,,,,,,,,,,,,,,,,,,2020-04-22,2020-04-16,2020-04-22,
23001,ME,,,Androscoggin County,-37.5,8.57,,0.0,,,,,,,,91.86,8.03,,,,,,,,,,,,,,,,,,,2020-05-29,2020-05-23,2020-05-29,
23001,ME,,,Androscoggin County,-36.27,9.29,,0.0,,,,,,,,98.0,7.18,,,,,,,,,,,,,,,,,,,2020-05-31,2020-05-25,2020-05-31,
23001,ME,,,Androscoggin County,-33.33,1.14,,0.0,,,,,,,,23.43,1.47,,,,,,,,,,,,,,,,,,,2020-04-12,2020-04-06,2020-04-12,
23001,ME,,,Androscoggin County,-33.33,8.86,,0.0,,,,,,,,94.0,6.11,,,,,,,,,,,,,,,,,,,2020-05-28,2020-05-22,2020-05-28,
23001,ME,,,Androscoggin County,-33.33,9.43,,0.0,,,,,,,,110.29,7.81,,,,,,,,,,,,,,,,,,,2020-06-01,2020-05-26,2020-06-01,
23001,ME,,,Androscoggin County,-27.27,1.14,,0.0,,,,,,,,22.57,2.26,,,,,,,,,,,,,,,,,,,2020-04-15,2020-04-09,2020-04-15,
23001,ME,,,Androscoggin County,-25.0,0.86,,0.0,,,,,,,,44.0,2.86,,,,,,,,,,,,,,,,,,,2020-04-24,2020-04-18,2020-04-24,
23001,ME,,,Androscoggin County,-25.0,0.86,,0.14,,,,,,,,21.29,5.35,,,,,,,,,,,,,,,,,,,2020-04-28,2020-04-22,2020-04-28,
23001,ME,,,Androscoggin County,-25.0,0.86,,0.14,,,,,,,,44.14,2.86,,,,,,,,,,,,,,,,,,,2020-04-25,2020-04-19,2020-04-25,
23001,ME,,,Androscoggin County,-18.29,9.57,,0.0,,,,,,,,77.71,7.51,,,,,,,,,,,,,,,,,,,2020-05-27,2020-05-21,2020-05-27,
23001,ME,,,Androscoggin County,-14.29,0.86,,0.14,,,,,,,,45.57,3.48,,,,,,,,,,,,,,,,,,,2020-04-23,2020-04-17,2020-04-23,
