fips_code,state,state_name,cbsa_code,county,new_cases_week_over_week_percent_change,new_cases_7_day_rolling_average,new_cases_per_100k_7_day_rolling_average,new_deaths_7_day_rolling_average,new_deaths_week_over_week_percent_change,new_deaths_per_100k_7_day_rolling_average,daily_cli_7_day_rolling_average,daily_cli_percentage_7_day_rolling_average,daily_ili_7_day_rolling_average,daily_ili_percentage_7_day_rolling_average,new_test_results_reported,new_test_results_reported_7_day_rolling_average,percent_new_test_results_reported_positive_7_day_rolling_average,percent_positive_7_day,total_test_results_reported_week_over_week_count_change,testing_suppressed,total_hospitals_reporting,admissions_covid_confirmed_last_7_days,admissions_covid_confirmed_7_day_rolling_average,admissions_covid_confirmed_last_7_days_per_100_beds,admissions_covid_confirmed_week_over_week_percent_change,percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_inpatient_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_icu_beds_used_confirmed_covid,cbsa_daily_cli_7_day_rolling_average,cbsa_daily_cli_percentage_7_day_rolling_average,cbsa_daily_ili_7_day_rolling_average,cbsa_daily_ili_percentage_7_day_rolling_average,date,report_date_window_start,report_date_window_end,community_transmission_level
44001,RI,,,Bristol County,-100.0,0.0,,0.14,,,,,,,,154.57,6.57,,,,,,,,,,,,,,,,,,,2020-05-19,2020-05-13,2020-05-19,
44001,RI,,,Bristol County,-95.12,0.29,,0.14,,,,,,,,119.86,7.74,,,,,,,,,,,,,,,,,,,2020-05-10,2020-05-04,2020-05-10,
44001,RI,,,Bristol County,-94.12,0.14,,0.14,,,,,,,,163.0,6.41,,,,,,,,,,,,,,,,,,,2020-05-18,2020-05-12,2020-05-18,
44001,RI,,,Bristol County,-77.78,1.71,,0.0,,,,,,,,153.29,7.28,,,,,,,,,,,,,,,,,,,2020-05-06,2020-04-30,2020-05-06,
44001,RI,,,Bristol County,-74.47,1.71,,0.0,,,,,,,,145.57,7.86,,,,,,,,,,,,,,,,,,,2020-05-07,2020-05-01,2020-05-07,
44001,RI,,,Bristol County,-73.17,1.57,,0.14,,,,,,,,206.57,3.54,,,,,,,,,,,,,,,,,,,2020-05-31,2020-05-25,2020-05-31,
44001,RI,,,Bristol County,-73.17,1.57,,0.14,,,,,,,,208.14,2.89,,,,,,,,,,,,,,,,,,,2020-05-30,2020-05-24,2020-05-30,
44001,RI,,,Bristol County,-73.17,1.57,,0.14,,,,,,,,208.71,2.55,,,,,,,,,,,,,,,,,,,2020-06-01,2020-05-26,2020-06-01,
44001,RI,,,Bristol County,-72.97,1.43,,0.14,,,,,,,,121.0,6.67,,,,,,,,,,,,,,,,,,,2020-05-09,2020-05-03,2020-05-09,
44001,RI,,,Bristol County,-70.0,1.71,,0.0,,,,,,,,139.86,7.5,,,,,,,,,,,,,,,,,,,2020-05-08,2020-05-02,2020-05-08,
44001,RI,,,Bristol County,-59.46,2.14,,0.14,,,,,,,,215.71,3.36,,,,,,,,,,,,,,,,,,,2020-05-29,2020-05-23,2020-05-29,
44001,RI,,,Bristol County,-57.5,2.43,,0.14,,,,,,,,123.29,8.19,,,,,,,,,,,,,,,,,,,2020-05-11,2020-05-05,2020-05-11,
44001,RI,,,Bristol County,-55.0,2.57,,0.14,,,,,,,,110.0,8.24,,,,,,,,,,,,,,,,,,,2020-05-12,2020-05-06,2020-05-12,
44001,RI,,,Bristol County,-43.75,2.57,,0.0,,,,,,,,163.71,3.96,,,,,,,,,,,,,,,,,,,2020-05-28,2020-05-22,2020-05-28,
44001,RI,,,Bristol County,-42.11,1.57,,0.0,,,,,,,,20.14,6.87,,,,,,,,,,,,,,,,,,,2020-04-07,2020-04-01,2020-04-07,
44001,RI,,,Bristol County,-35.29,1.57,,0.0,,,,,,,,26.29,7.85,,,,,,,,,,,,,,,,,,,2020-04-08,2020-04-02,2020-04-08,
44001,RI,,,Bristol County,-22.92,5.29,,0.0,,,,,,,,182.43,7.15,,,,,,,,,,,,,,,,,,,2020-05-02,2020-04-26,2020-05-02,
44001,RI,,,Bristol County,-14.89,5.71,,0.0,,,,,,,,142.29,6.95,,,,,,,,,,,,,,,,,,,2020-05-04,2020-04-28,2020-05-04,
44001,RI,,,Bristol County,-13.04,5.71,,0.0,,,,,,,,153.43,6.33,,,,,,,,,,,,,,,,,,,2020-05-05,2020-04-29,2020-05-05,
44001,RI,,,Bristol County,-11.11,2.29,,0.0,,,,,,,,27.86,6.17,,,,,,,,,,,,,,,,,,,2020-04-09,2020-04-03,2020-04-09,
44001,RI,,,Bristol County,-11.11,5.71,,0.0,,,,,,,,156.0,6.81,,,,,,,,,,,,,,,,,,,2020-05-01,2020-04-25,2020-05-01,
44001,RI,,,Bristol County,-10.87,5.86,,0.0,,,,,,,,157.29,6.92,,,,,,,,,,,,,,,,,,,2020-05-03,2020-04-27,2020-05-03,
44001,RI,,,Bristol County,-7.69,1.71,,0.0,,,,,,,,38.14,2.69,,,,,,,,,,,,,,,,,,,2020-04-13,2020-04-07,2020-04-13,
44001,RI,,,Bristol County,-7.69,3.43,,0.0,,,,,,,,122.14,5.08,,,,,,,,,,,,,,,,,,,2020-05-27,2020-05-21,2020-05-27,
44001,RI,,,Bristol County,-7.14,1.86,,0.0,,,,,,,,15.86,10.63,,,,,,,,,,,,,,,,,,,2020-04-06,2020-03-31,2020-04-06,
44001,RI,,,Bristol County,-6.25,2.14,,0.0,,,,,,,,39.29,5.52,,,,,,,,,,,,,,,,,,,2020-04-11,2020-04-05,2020-04-11,
44001,RI,,,Bristol County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-01-22,2020-01-16,2020-01-22,
