fips_code,state,state_name,cbsa_code,county,new_cases_week_over_week_percent_change,new_cases_7_day_rolling_average,new_cases_per_100k_7_day_rolling_average,new_deaths_7_day_rolling_average,new_deaths_week_over_week_percent_change,new_deaths_per_100k_7_day_rolling_average,daily_cli_7_day_rolling_average,daily_cli_percentage_7_day_rolling_average,daily_ili_7_day_rolling_average,daily_ili_percentage_7_day_rolling_average,new_test_results_reported,new_test_results_reported_7_day_rolling_average,percent_new_test_results_reported_positive_7_day_rolling_average,percent_positive_7_day,total_test_results_reported_week_over_week_count_change,testing_suppressed,total_hospitals_reporting,admissions_covid_confirmed_last_7_days,admissions_covid_confirmed_7_day_rolling_average,admissions_covid_confirmed_last_7_days_per_100_beds,admissions_covid_confirmed_week_over_week_percent_change,percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_inpatient_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_icu_beds_used_confirmed_covid,cbsa_daily_cli_7_day_rolling_average,cbsa_daily_cli_percentage_7_day_rolling_average,cbsa_daily_ili_7_day_rolling_average,cbsa_daily_ili_percentage_7_day_rolling_average,date,report_date_window_start,report_date_window_end,community_transmission_level
45001,SC,,,Abbeville County,-100.0,0.0,,0.0,,,,,,,,13.29,0.0,,,,,,,,,,,,,,,,,,,2020-05-14,2020-05-08,2020-05-14,
45001,SC,,,Abbeville County,-100.0,0.0,,0.0,,,,,,,,14.57,0.0,,,,,,,,,,,,,,,,,,,2020-05-15,2020-05-09,2020-05-15,
45001,SC,,,Abbeville County,-100.0,0.0,,0.0,,,,,,,,15.14,0.0,,,,,,,,,,,,,,,,,,,2020-05-16,2020-05-10,2020-05-16,
45001,SC,,,Abbeville County,-100.0,0.0,,0.0,,,,,,,,35.57,1.79,,,,,,,,,,,,,,,,,,,2020-05-26,2020-05-20,2020-05-26,
45001,SC,,,Abbeville County,-100.0,0.0,,0.0,,,,,,,,35.57,3.57,,,,,,,,,,,,,,,,,,,2020-05-24,2020-05-18,2020-05-24,
45001,SC,,,Abbeville County,-100.0,0.0,,0.0,,,,,,,,36.71,1.79,,,,,,,,,,,,,,,,,,,2020-05-25,2020-05-19,2020-05-25,
45001,SC,,,Abbeville County,-100.0,0.0,,0.0,,,,,,,,37.86,3.15,,,,,,,,,,,,,,,,,,,2020-05-27,2020-05-21,2020-05-27,
45001,SC,,,Abbeville County,-88.89,0.14,,0.0,,,,,,,,11.29,1.59,,,,,,,,,,,,,,,,,,,2020-05-10,2020-05-04,2020-05-10,
45001,SC,,,Abbeville County,-75.0,0.14,,0.0,,,,,,,,11.71,1.59,,,,,,,,,,,,,,,,,,,2020-05-11,2020-05-05,2020-05-11,
45001,SC,,,Abbeville County,-75.0,0.14,,0.0,,,,,,,,11.86,0.0,,,,,,,,,,,,,,,,,,,2020-05-13,2020-05-07,2020-05-13,
45001,SC,,,Abbeville County,-75.0,0.14,,0.0,,,,,,,,12.29,1.59,,,,,,,,,,,,,,,,,,,2020-05-12,2020-05-06,2020-05-12,
45001,SC,,,Abbeville County,-66.67,0.14,,0.0,,,,,,,,2.0,3.33,,,,,,,,,,,,,,,,,,,2020-04-01,2020-03-26,2020-04-01,
45001,SC,,,Abbeville County,-66.67,0.14,,0.0,,,,,,,,3.0,5.56,,,,,,,,,,,,,,,,,,,2020-04-07,2020-04-01,2020-04-07,
45001,SC,,,Abbeville County,-66.67,0.57,,0.0,,,,,,,,12.71,3.72,,,,,,,,,,,,,,,,,,,2020-05-04,2020-04-28,2020-05-04,
45001,SC,,,Abbeville County,-63.64,0.57,,0.0,,,,,,,,13.0,3.01,,,,,,,,,,,,,,,,,,,2020-05-05,2020-04-29,2020-05-05,
45001,SC,,,Abbeville County,-62.5,0.43,,0.0,,,,,,,,10.43,4.59,,,,,,,,,,,,,,,,,,,2020-05-07,2020-05-01,2020-05-07,
45001,SC,,,Abbeville County,-57.14,0.43,,0.0,,,,,,,,8.43,1.59,,,,,,,,,,,,,,,,,,,2020-05-09,2020-05-03,2020-05-09,
45001,SC,,,Abbeville County,-57.14,0.43,,0.0,,,,,,,,9.57,4.59,,,,,,,,,,,,,,,,,,,2020-05-08,2020-05-02,2020-05-08,
45001,SC,,,Abbeville County,-50.0,1.0,,0.0,,,,,,,,13.29,4.88,,,,,,,,,,,,,,,,,,,2020-05-01,2020-04-25,2020-05-01,
45001,SC,,,Abbeville County,-42.86,0.57,,0.0,,,,,,,,11.57,4.59,,,,,,,,,,,,,,,,,,,2020-05-06,2020-04-30,2020-05-06,
45001,SC,,,Abbeville County,-41.67,1.0,,0.0,,,,,,,,11.43,6.67,,,,,,,,,,,,,,,,,,,2020-04-29,2020-04-23,2020-04-29,
45001,SC,,,Abbeville County,-38.46,1.14,,0.0,,,,,,,,12.0,4.88,,,,,,,,,,,,,,,,,,,2020-04-30,2020-04-24,2020-04-30,
45001,SC,,,Abbeville County,-22.22,1.0,,0.0,,,,,,,,14.86,6.1,,,,,,,,,,,,,,,,,,,2020-05-02,2020-04-26,2020-05-02,
45001,SC,,,Abbeville County,-12.5,1.0,,0.0,,,,,,,,7.57,14.55,,,,,,,,,,,,,,,,,,,2020-04-26,2020-04-20,2020-04-26,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-01-22,2020-01-16,2020-01-22,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-01-23,2020-01-17,2020-01-23,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-01-24,2020-01-18,2020-01-24,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-01-25,2020-01-19,2020-01-25,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-01-26,2020-01-20,2020-01-26,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-01-27,2020-01-21,2020-01-27,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-01-28,2020-01-22,2020-01-28,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-01-29,2020-01-23,2020-01-29,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-01-30,2020-01-24,2020-01-30,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-01-31,2020-01-25,2020-01-31,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-01,2020-01-26,2020-02-01,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-02,2020-01-27,2020-02-02,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-03,2020-01-28,2020-02-03,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-04,2020-01-29,2020-02-04,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-05,2020-01-30,2020-02-05,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-06,2020-01-31,2020-02-06,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-07,2020-02-01,2020-02-07,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-08,2020-02-02,2020-02-08,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-09,2020-02-03,2020-02-09,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-10,2020-02-04,2020-02-10,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-11,2020-02-05,2020-02-11,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-12,2020-02-06,2020-02-12,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-13,2020-02-07,2020-02-13,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-14,2020-02-08,2020-02-14,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-15,2020-02-09,2020-02-15,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-16,2020-02-10,2020-02-16,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-17,2020-02-11,2020-02-17,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-18,2020-02-12,2020-02-18,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-19,2020-02-13,2020-02-19,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-20,2020-02-14,2020-02-20,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-21,2020-02-15,2020-02-21,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-22,2020-02-16,2020-02-22,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-23,2020-02-17,2020-02-23,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-24,2020-02-18,2020-02-24,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-25,2020-02-19,2020-02-25,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-26,2020-02-20,2020-02-26,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-27,2020-02-21,2020-02-27,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-28,2020-02-22,2020-02-28,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-02-29,2020-02-23,2020-02-29,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-01,2020-02-24,2020-03-01,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-02,2020-02-25,2020-03-02,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-03,2020-02-26,2020-03-03,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-04,2020-02-27,2020-03-04,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-05,2020-02-28,2020-03-05,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-06,2020-02-29,2020-03-06,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-07,2020-03-01,2020-03-07,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-08,2020-03-02,2020-03-08,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-09,2020-03-03,2020-03-09,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-10,2020-03-04,2020-03-10,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-11,2020-03-05,2020-03-11,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-12,2020-03-06,2020-03-12,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-13,2020-03-07,2020-03-13,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-14,2020-03-08,2020-03-14,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-15,2020-03-09,2020-03-15,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-16,2020-03-10,2020-03-16,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-17,2020-03-11,2020-03-17,
45001,SC,,,Abbeville County,0.0,0.0,,0.0,,,,,,,,3.5,0.0,,,,,,,,,,,,,,,,,,,2020-03-18,2020-03-12,2020-03-18,
45001,SC,,,Abbeville County,0.0,0.14,,0.0,,,,,,,,1.43,0.0,,,,,,,,,,,,,,,,,,,2020-03-24,2020-03-18,2020-03-24,
45001,SC,,,Abbeville County,0.0,0.14,,0.0,,,,,,,,1.57,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-03-17,2020-03-23,
45001,SC,,,Abbeville County,0.0,0.14,,0.0,,,,,,,,1.83,0.0,,,,,,,,,,,,,,,,,,,2020-03-22,2020-03-16,2020-03-22,
45001,SC,,,Abbeville County,0.0,0.14,,0.0,,,,,,,,2.2,0.0,,,,,,,,,,,,,,,,,,,2020-03-21,2020-03-15,2020-03-21,
45001,SC,,,Abbeville County,0.0,0.14,,0.0,,,,,,,,2.67,0.0,,,,,,,,,,,,,,,,,,,2020-03-19,2020-03-13,2020-03-19,
45001,SC,,,Abbeville County,0.0,0.14,,0.0,,,,,,,,2.75,0.0,,,,,,,,,,,,,,,,,,,2020-03-20,2020-03-14,2020-03-20,
45001,SC,,,Abbeville County,0.0,0.14,,0.0,,,,,,,,11.43,6.63,,,,,,,,,,,,,,,,,,,2020-05-22,2020-05-16,2020-05-22,
45001,SC,,,Abbeville County,0.0,0.14,,0.0,,,,,,,,12.71,6.63,,,,,,,,,,,,,,,,,,,2020-05-20,2020-05-14,2020-05-20,
45001,SC,,,Abbeville County,0.0,0.14,,0.0,,,,,,,,12.86,6.63,,,,,,,,,,,,,,,,,,,2020-05-19,2020-05-13,2020-05-19,
