runid,Date,Location,ShortName,LongName,Census2019,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown,Administered_Fed_LTC_Dose2_Residents,Administered_Fed_LTC_Dose2_Staff,Administered_Fed_LTC_Dose2_Unk
1847,2021-03-10,AK,AKA,Alaska,731545,6548,4314,2191,1368,914,2032,2191,654,373,1164,,,
1847,2021-03-10,AL,ALA,Alabama,4903185,80092,49816,29957,25597,17739,6480,29957,17065,9768,3124,,,
1847,2021-03-10,AR,ARA,Arkansas,3017804,28556,18921,9534,4656,2321,11944,9534,3059,1401,5074,,,
1847,2021-03-10,AS,ASA,American Samoa,55689,0,0,0,0,0,0,0,0,0,0,,,
1847,2021-03-10,AZ,AZA,Arizona,7278717,112053,78207,33443,35576,23357,19274,33445,17976,10868,4601,,,
1847,2021-03-10,BP2,BP2,Bureau of Prisons,0,0,0,0,0,0,0,0,0,0,0,,,
1847,2021-03-10,CA,CAA,California,39512223,780039,481912,294269,219186,204650,58076,294270,146044,125444,22782,,,
1847,2021-03-10,CO,COA,Colorado,5758736,127831,81664,45551,32548,26037,23079,45551,21188,15627,8736,,,
1847,2021-03-10,CT,CTA,Connecticut,3565287,131093,77896,52401,36155,28793,12948,52401,26344,21700,4357,,,
1847,2021-03-10,DC,DCA,District of Columbia,705749,8351,5368,2852,2343,2292,733,2852,1589,1138,125,,,
1847,2021-03-10,DD2,DD2,Dept of Defense,0,0,0,0,0,0,0,0,0,0,0,,,
1847,2021-03-10,DE,DEA,Delaware,973764,35550,24248,11067,6653,5160,12435,11067,4548,3067,3452,,,
1847,2021-03-10,FL,FLA,Florida,21477737,393619,236975,153780,118706,68040,50229,153780,83757,46294,23729,,,
1847,2021-03-10,FM,FMA,Federated States of Micronesia,103643,106,57,49,0,57,0,49,0,49,0,,,
1847,2021-03-10,GA,GAA,Georgia,10617423,120526,73022,46752,40869,22634,9519,46752,28784,14976,2992,,,
1847,2021-03-10,GU,GUA,Guam,165768,1,1,0,0,0,1,0,0,0,0,,,
1847,2021-03-10,HI,HIA,Hawaii,1415872,22350,14038,8284,5978,7084,976,8284,3948,4038,298,,,
1847,2021-03-10,IA,IAA,Iowa,3155070,136617,89892,45859,36474,29325,24093,45859,24115,15266,6478,,,
1847,2021-03-10,ID,IDA,Idaho,1787065,26580,16380,10118,4807,2903,8670,10118,3492,1813,4813,,,
1847,2021-03-10,IH2,IH2,Indian Health Svc,2082813,0,0,0,0,0,0,0,0,0,0,,,
1847,2021-03-10,IL,ILA,Illinois,12671821,405845,278916,125690,93172,65615,120129,125690,60687,38445,26558,,,
1847,2021-03-10,IN,INA,Indiana,6732219,131246,81580,49281,50375,20682,10523,49281,33985,11830,3466,,,
1847,2021-03-10,KS,KSA,Kansas,2913314,89206,55172,33793,26320,17915,10937,33793,19070,9762,4961,,,
1847,2021-03-10,KY,KYA,Kentucky,4467673,93944,63410,30072,27044,17685,18681,30072,15989,9733,4350,,,
1847,2021-03-10,LA,LAA,Louisiana,4648794,109426,74598,34300,23530,13116,37952,34300,15365,6896,12039,,,
1847,2021-03-10,MA,MAA,Massachusetts,6892503,310352,185087,123457,78228,71813,35046,123457,59898,53878,9681,,,
1847,2021-03-10,MD,MDA,Maryland,6045680,174987,114049,59728,51905,41174,20970,59728,32329,22424,4975,,,
