fips,county,state,fema_region,date,cases_last_7_days,cases_per_100k_last_7_days,total_cases,cases_pct_change_from_prev_week,deaths_last_7_days,deaths_per_100k_last_7_days,total_deaths,deaths_pct_change_from_prev_week,test_positivity_rate_last_7_days,total_positive_tests_last_7_days,total_tests_last_7_days,total_tests_per_100k_last_7_days,test_positivity_rate_pct_change_from_prev_week,total_tests_pct_change_from_prev_week,confirmed_covid_hosp_last_7_days,confirmed_covid_hosp_per_100_beds_last_7_days,confirmed_covid_hosp_per_100_beds_pct_change_from_prev_week,suspected_covid_hosp_last_7_days,suspected_covid_hosp_per_100_beds_last_7_days,suspected_covid_hosp_per_100_beds_pct_change_from_prev_week,pct_inpatient_beds_used_avg_last_7_days,pct_inpatient_beds_used_abs_change_from_prev_week,pct_inpatient_beds_used_covid_avg_last_7_days,pct_inpatient_beds_used_covid_abs_change_from_prev_week,pct_icu_beds_used_avg_last_7_days,pct_icu_beds_used_abs_change_from_prev_week,pct_icu_beds_used_covid_avg_last_7_days,pct_icu_beds_used_covid_abs_change_from_prev_week,pct_vents_used_avg_last_7_days,pct_vents_used_abs_change_from_prev_week,pct_vents_used_covid_avg_last_7_days,pct_vents_used_covid_abs_change_from_prev_week
1000,"Unallocated, AL",AL,4,07/21/2021 12:00:00 AM,0,,0,,0,,0,,0.062,4,158,,0.041,-0.21,,,,,,,,,,,,,,,,,,
1001,"Autauga County, AL",AL,4,07/21/2021 12:00:00 AM,55,98.445,7375,0.279,0,0,113,,0.158,51,370,662.264,0.046,0.28,13,14.773,0.444,35,39.773,1.5,0.68,0.029,0.097,0.054,0.786,-0.19,0.333,0.214,0.018,-0.321,0,-0.125
1003,"Baldwin County, AL",AL,4,07/21/2021 12:00:00 AM,720,322.532,23184,1.323,3,1.344,324,-0.4,0.228,384,1722,771.388,0.039,0.539,51,13.71,1.318,26,6.989,0.529,0.792,-0.041,0.078,0.028,0.92,0.029,0.288,0.09,0.204,-0.037,0.054,0.017
1005,"Barbour County, AL",AL,4,07/21/2021 12:00:00 AM,42,170.137,2415,1.211,0,0,60,,0.121,12,120,486.105,0,0.25,8,18.792,3,1,2.349,-0.8,0.584,-0.013,0.094,0.05,0.686,0.171,0.2,0.2,0.429,0.286,0.048,0.048
1007,"Bibb County, AL",AL,4,07/21/2021 12:00:00 AM,45,200.947,2753,4,0,0,65,,0.195,19,185,826.114,0.128,1.056,0,0,,0,0,,0.424,0.033,0,0,,,,,,,,
1009,"Blount County, AL",AL,4,07/21/2021 12:00:00 AM,78,134.887,7133,0.857,0,0,139,,0.19,52,263,454.813,0.039,0.091,16,44.98,,0,0,,0.474,0.079,0.076,0.076,0.571,0.024,0.071,0.071,0,0,0,0
1011,"Bullock County, AL",AL,4,07/21/2021 12:00:00 AM,3,29.7,1253,,0,0,42,,0.059,4,88,871.201,0.046,0.023,1,1.562,0,0,0,,0.471,0.054,0.002,-0.002,,,,,,,,
1013,"Butler County, AL",AL,4,07/21/2021 12:00:00 AM,40,205.677,2328,1.222,0,0,71,,0.138,13,97,498.766,-0.007,0.59,0,0,,0,0,,0.194,-0.041,0.011,0.011,0.381,-0.262,0.024,0.024,0,0,0,0
1015,"Calhoun County, AL",AL,4,07/21/2021 12:00:00 AM,117,102.988,14978,0.773,1,0.88,332,,0.162,43,440,387.307,0.037,0.243,7,2.541,0.744,1,0.363,,0.806,0.029,0.02,0.011,0.996,0.029,0.044,0.024,0.335,0.031,0.016,0.016
1017,"Chambers County, AL",AL,4,07/21/2021 12:00:00 AM,32,96.229,3805,0.455,0,0,124,-1,0.074,12,104,312.744,-0.055,-0.071,0,0,,0,0,,0.648,0.133,0,0,,,,,,,,
