fips,county,state,fema_region,date,cases_last_7_days,cases_per_100k_last_7_days,total_cases,cases_pct_change_from_prev_week,deaths_last_7_days,deaths_per_100k_last_7_days,total_deaths,deaths_pct_change_from_prev_week,test_positivity_rate_last_7_days,total_positive_tests_last_7_days,total_tests_last_7_days,total_tests_per_100k_last_7_days,test_positivity_rate_pct_change_from_prev_week,total_tests_pct_change_from_prev_week,confirmed_covid_hosp_last_7_days,confirmed_covid_hosp_per_100_beds_last_7_days,confirmed_covid_hosp_per_100_beds_pct_change_from_prev_week,suspected_covid_hosp_last_7_days,suspected_covid_hosp_per_100_beds_last_7_days,suspected_covid_hosp_per_100_beds_pct_change_from_prev_week,pct_inpatient_beds_used_avg_last_7_days,pct_inpatient_beds_used_abs_change_from_prev_week,pct_inpatient_beds_used_covid_avg_last_7_days,pct_inpatient_beds_used_covid_abs_change_from_prev_week,pct_icu_beds_used_avg_last_7_days,pct_icu_beds_used_abs_change_from_prev_week,pct_icu_beds_used_covid_avg_last_7_days,pct_icu_beds_used_covid_abs_change_from_prev_week,pct_vents_used_avg_last_7_days,pct_vents_used_abs_change_from_prev_week,pct_vents_used_covid_avg_last_7_days,pct_vents_used_covid_abs_change_from_prev_week,pct_fully_vacc_total_pop,pct_fully_vacc_65_and_older
1000,"Unallocated, AL",AL,4,06/08/2022 12:00:00 AM,0,,0,,0,,0,,0.105,6,32,,0.033,-0.75,,,,,,,,,,,,,,,,,,,,
1001,"Autauga County, AL",AL,4,06/08/2022 12:00:00 AM,96,171.831,16065,0.811,0,0,216,,0.196,29,168,300.703,0.066,-0.356,3.039,1.687,4.261,5.064,2.812,1.063,0.664,-0.024,0.014,0.005,0.778,-0.052,0.027,0.007,,,,,0.446,0.721
1003,"Baldwin County, AL",AL,4,06/08/2022 12:00:00 AM,444,198.894,57024,0.24,0,0,683,-1,0.161,136,816,365.536,-0.014,-0.169,19.533,2.864,0.564,4.803,0.704,-0.286,0.752,0.01,0.013,0.005,0.722,-0.043,0.014,0.004,,,,,0.514,0.851
1005,"Barbour County, AL",AL,4,06/08/2022 12:00:00 AM,24,97.221,5734,0.5,0,0,99,,0.076,2,53,214.697,0.039,-0.436,2.665,3.534,-0.027,0,0,,0.779,0.015,0.03,0.015,0.834,0.012,0.029,0.019,,,,,0.458,0.726
1007,"Bibb County, AL",AL,4,06/08/2022 12:00:00 AM,32,142.895,6540,0.103,0,0,105,,0.262,10,50,223.274,0.221,-0.565,1.176,1.467,0,2.298,2.866,0.198,0.789,0.028,0.015,0.003,0.848,0.029,0.012,-0.001,,,,,0.35,0.619
1009,"Blount County, AL",AL,4,06/08/2022 12:00:00 AM,38,65.714,15115,0.52,0,0,244,-1,0.204,28,179,309.549,0.099,-0.361,3.037,1.467,0,5.933,2.866,0.198,0.789,0.028,0.015,0.003,0.848,0.029,0.012,-0.001,,,,,0.32,0.543
1011,"Bullock County, AL",AL,4,06/08/2022 12:00:00 AM,9,89.1,2346,1.25,0,0,54,,0.226,14,115,1138.501,0.125,0,0.549,1.687,4.261,0.916,2.812,1.063,0.664,-0.024,0.014,0.005,0.778,-0.052,0.027,0.007,,,,,0.545,0.818
1013,"Butler County, AL",AL,4,06/08/2022 12:00:00 AM,30,154.258,5121,2.333,0,0,129,,0.25,8,45,231.386,0.038,0.125,0,0,,0,0,,0.398,0.013,0,0,0.673,0.184,0,0,,,,,0.397,0.658
1015,"Calhoun County, AL",AL,4,06/08/2022 12:00:00 AM,76,66.898,32672,0.52,0,0,628,,0.176,32,280,246.468,0.093,-0.024,10.205,4.745,0.97,22.452,10.439,0.48,0.888,0.022,0.017,0.008,0.825,0.028,0.053,0.032,,,,,0.473,0.811
1017,"Chambers County, AL",AL,4,06/08/2022 12:00:00 AM,26,78.186,8577,0.04,0,0,162,,0.078,7,61,183.437,-0.025,-0.358,1.298,2.841,0.959,2.271,4.971,1.057,0.748,0.069,0.016,0.008,0.909,0.107,0.022,0.013,,,,,0.317,0.515
1019,"Cherokee County, AL",AL,4,06/08/2022 12:00:00 AM,21,80.165,5178,1.1,0,0,86,,0.114,3,29,110.704,0.088,-0.532,0.53,0.958,0.001,1.412,2.555,-0.303,0.624,-0.03,0.007,0.002,0.778,0.005,0,0,,,,,0.31,0.536
1021,"Chilton County, AL",AL,4,06/08/2022 12:00:00 AM,23,51.769,11193,0.438,1,2.251,208,,0.096,10,97,218.331,0.021,-0.429,2.333,1.467,0,4.559,2.866,0.198,0.789,0.028,0.015,0.003,0.848,0.029,0.012,-0.001,,,,,0.366,0.665
1023,"Choctaw County, AL",AL,4,06/08/2022 12:00:00 AM,4,31.774,2065,-0.556,0,0,37,,0.067,1,14,111.208,-0.017,0,0.433,1.02,0.006,0.072,0.17,-0.497,0.589,0.012,0.006,0.001,0.811,0.013,0,-0.029,,,,,0.668,0.95
1025,"Clarke County, AL",AL,4,06/08/2022 12:00:00 AM,11,46.567,7182,0.222,0,0,101,,0.125,3,48,203.2,0.062,-0.172,2.067,2.864,0.564,0.508,0.704,-0.286,0.752,0.01,0.013,0.005,0.722,-0.043,0.014,0.004,,,,,0.514,0.8
1027,"Clay County, AL",AL,4,06/08/2022 12:00:00 AM,6,45.334,4120,-0.333,0,0,82,,0.212,6,40,302.229,0.131,-0.091,0.255,1.136,,0,0,-1,0.552,0.063,0.003,0.003,0.7,0.179,0,0,,,,,0.422,0.69
1029,"Cleburne County, AL",AL,4,06/08/2022 12:00:00 AM,7,46.948,3579,,0,0,69,,0,1,28,187.793,-0.053,0.037,1.339,4.745,0.97,2.947,10.439,0.48,0.888,0.022,0.017,0.008,0.825,0.028,0.053,0.032,,,,,0.29,0.526
1031,"Coffee County, AL",AL,4,06/08/2022 12:00:00 AM,85,162.393,13861,0.288,1,1.911,232,,0.243,34,139,265.561,0.044,-0.403,5.651,3.534,-0.027,0,0,,0.779,0.015,0.03,0.015,0.834,0.012,0.029,0.019,,,,,0.478,0.799
1033,"Colbert County, AL",AL,4,06/08/2022 12:00:00 AM,75,135.769,16548,0.667,0,0,262,,0.222,20,125,226.281,0.136,-0.273,3.266,1.928,1.004,2.45,1.446,1.255,0.568,-0.012,0.01,0.006,0.614,-0.013,0.02,0.02,,,,,0.483,0.786
1035,"Conecuh County, AL",AL,4,06/08/2022 12:00:00 AM,18,149.167,2905,2,0,0,70,,0.048,0,17,140.88,-0.065,-0.802,1.53,5.107,0.968,0.924,3.083,0.188,0.695,0.044,0.024,0.007,0.727,0.075,0.021,0.005,,,,,0.44,0.664
1037,"Coosa County, AL",AL,4,06/08/2022 12:00:00 AM,11,103.16,3000,1.75,0,0,58,,0.143,5,68,637.719,0.116,0.079,0.205,1.136,,0,0,-1,0.552,0.063,0.003,0.003,0.7,0.179,0,0,,,,,0.408,0.657
1039,"Covington County, AL",AL,4,06/08/2022 12:00:00 AM,37,99.868,9424,1.467,1,2.699,233,,0.115,3,31,83.673,0.03,-0.466,2.015,1.687,4.261,3.358,2.812,1.063,0.664,-0.024,0.014,0.005,0.778,-0.052,0.027,0.007,,,,,0.383,0.668
1041,"Crenshaw County, AL",AL,4,06/08/2022 12:00:00 AM,19,137.961,3869,2.167,0,0,100,,0.216,5,17,123.439,-0.006,-0.638,0.749,1.687,4.261,1.248,2.812,1.063,0.664,-0.024,0.014,0.005,0.778,-0.052,0.027,0.007,,,,,0.347,0.644
1043,"Cullman County, AL",AL,4,06/08/2022 12:00:00 AM,71,84.758,24872,0,0,0,367,,0.026,17,829,989.638,0.01,-0.18,4.399,1.467,0,8.595,2.866,0.198,0.789,0.028,0.015,0.003,0.848,0.029,0.012,-0.001,,,,,0.384,0.708
1045,"Dale County, AL",AL,4,06/08/2022 12:00:00 AM,60,122.021,13135,-0.143,0,0,231,,0.149,25,183,372.163,0.009,-0.309,5.309,3.534,-0.027,0,0,,0.779,0.015,0.03,0.015,0.834,0.012,0.029,0.019,,,,,0.483,0.751
1047,"Dallas County, AL",AL,4,06/08/2022 12:00:00 AM,37,99.473,8530,0,0,0,244,,0.049,5,123,330.681,0,-0.297,1.481,1.471,2.006,0,0,,0.48,0.052,0.005,-0.001,0.714,0.063,0.024,0.016,,,,,0.459,0.737
1049,"DeKalb County, AL",AL,4,06/08/2022 12:00:00 AM,50,69.917,18908,0.667,1,1.398,331,,0.144,7,116,162.208,0.071,-0.314,1.446,0.958,0.001,3.856,2.555,-0.303,0.624,-0.03,0.007,0.002,0.778,0.005,0,0,,,,,0.342,0.609
1051,"Elmore County, AL",AL,4,06/08/2022 12:00:00 AM,119,146.535,23694,0.4,0,0,347,,0.182,44,214,263.518,0.066,-0.438,0.801,0.692,-0.251,0,0,-1,0.646,0.046,0.006,0,0.824,0.071,0.029,0.013,,,,,0.469,0.869
1053,"Escambia County, AL",AL,4,06/08/2022 12:00:00 AM,69,188.355,10203,1.3,0,0,171,,0.169,5,73,199.274,0.108,-0.336,4.644,5.107,0.968,2.804,3.083,0.188,0.695,0.044,0.024,0.007,0.727,0.075,0.021,0.005,,,,,0.368,0.73
1055,"Etowah County, AL",AL,4,06/08/2022 12:00:00 AM,49,47.913,28893,0.581,0,0,652,-1,0.156,13,137,133.962,0.077,-0.363,2.068,0.958,0.001,5.514,2.555,-0.303,0.624,-0.03,0.007,0.002,0.778,0.005,0,0,,,,,0.414,0.716
1057,"Fayette County, AL",AL,4,06/08/2022 12:00:00 AM,13,79.745,5016,0,0,0,96,,0.162,3,20,122.684,-0.005,-0.444,0.354,1.065,-0.798,0,0,,0.368,0.024,0.011,-0.009,0,0,0,0,,,,,0.352,0.61
