state,collection_date,ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total ICU Beds,Total LL,Total UL
CW,2020-08-28,"71,150","70,805","71,495",68.23,67.18,69.28,"103,633","103,135","104,131"
CW,2020-08-29,"69,881","69,508","70,255",66.65,65.50,67.80,"104,201","103,671","104,731"
CW,2020-08-30,"68,321","67,959","68,684",65.21,64.09,66.32,"104,151","103,634","104,667"
CW,2020-08-31,"67,971","67,680","68,262",64.98,64.10,65.85,"103,991","103,571","104,412"
CW,2020-09-01,"70,852","70,594","71,110",67.53,66.76,68.30,"104,298","103,911","104,686"
CW,2020-09-02,"71,361","71,192","71,531",67.98,67.60,68.37,"104,339","104,111","104,567"
CW,2020-09-03,"71,114","70,937","71,291",67.57,67.18,67.96,"104,604","104,387","104,822"
CW,2020-09-04,"70,875","70,662","71,088",67.43,66.92,67.95,"104,486","104,240","104,733"
CW,2020-09-05,"69,549","69,316","69,782",66.31,65.73,66.90,"104,266","103,999","104,534"
CW,2020-09-06,"67,562","67,275","67,849",64.53,63.73,65.34,"104,110","103,747","104,473"
CW,2020-09-07,"66,753","66,530","66,975",63.78,63.20,64.35,"104,101","103,832","104,371"
CW,2020-09-08,"67,490","67,295","67,686",64.50,64.02,64.99,"104,058","103,819","104,298"
CW,2020-09-09,"70,189","69,992","70,386",67.03,66.55,67.52,"104,096","103,833","104,359"
CW,2020-09-10,"71,065","70,871","71,260",67.99,67.58,68.41,"104,219","103,970","104,468"
CW,2020-09-11,"71,135","70,917","71,353",68.00,67.48,68.52,"104,283","104,010","104,557"
CW,2020-09-12,"69,915","69,683","70,148",66.88,66.28,67.47,"104,183","103,888","104,479"
CW,2020-09-13,"67,891","67,631","68,150",65.13,64.45,65.82,"103,851","103,531","104,172"
CW,2020-09-14,"67,982","67,776","68,188",65.13,64.50,65.77,"104,014","103,643","104,385"
CW,2020-09-15,"70,465","70,281","70,649",67.16,66.79,67.53,"104,588","104,373","104,804"
CW,2020-09-16,"71,066","70,868","71,265",67.71,67.28,68.13,"104,631","104,405","104,858"
CW,2020-09-17,"71,224","71,022","71,425",67.85,67.39,68.32,"104,526","104,275","104,777"
CW,2020-09-18,"71,153","70,924","71,382",67.84,67.28,68.39,"104,476","104,214","104,738"
CW,2020-09-19,"70,079","69,823","70,336",66.81,66.14,67.48,"104,547","104,239","104,855"
CW,2020-09-20,"67,990","67,713","68,267",65.12,64.36,65.88,"104,074","103,718","104,430"
CW,2020-09-21,"68,026","67,824","68,227",65.11,64.60,65.62,"104,003","103,760","104,246"
CW,2020-09-22,"70,568","70,384","70,752",67.51,67.02,67.99,"104,026","103,767","104,286"
CW,2020-09-23,"71,710","71,502","71,919",68.54,68.01,69.07,"104,087","103,822","104,351"
CW,2020-09-24,"71,771","71,583","71,958",68.61,68.18,69.03,"104,087","103,868","104,307"
CW,2020-09-25,"73,084","72,847","73,322",68.79,68.19,69.39,"105,723","105,420","106,025"
CW,2020-09-26,"71,757","71,528","71,986",67.73,67.16,68.31,"105,430","105,132","105,727"
CW,2020-09-27,"69,208","68,970","69,445",66.07,65.42,66.72,"104,264","103,922","104,605"
CW,2020-09-28,"69,027","68,697","69,357",65.19,64.24,66.13,"105,415","104,973","105,857"
DC,2020-08-28,415,415,415,73.06,73.06,73.06,568,568,568
DC,2020-08-29,429,429,429,73.46,73.46,73.46,584,584,584
DC,2020-08-30,404,404,404,65.91,65.91,65.91,613,613,613
DC,2020-08-31,408,408,408,71.20,71.20,71.20,573,573,573
DC,2020-09-01,408,408,408,72.60,72.60,72.60,562,562,562
DC,2020-09-02,426,426,426,75.13,75.13,75.13,567,567,567
DC,2020-09-03,441,441,441,76.43,76.43,76.43,577,577,577
DC,2020-09-04,400,400,400,72.60,72.60,72.60,551,551,551
DC,2020-09-05,387,387,387,69.35,69.35,69.35,558,558,558
DC,2020-09-06,398,398,398,71.07,71.07,71.07,560,560,560
DC,2020-09-07,383,383,383,69.64,69.64,69.64,550,550,550
DC,2020-09-08,407,407,407,73.73,73.73,73.73,552,552,552
DC,2020-09-09,434,434,434,73.94,73.94,73.94,587,587,587
DC,2020-09-10,432,432,432,73.85,73.85,73.85,585,585,585
DC,2020-09-11,436,406,467,74.36,57.62,91.10,587,547,627
DC,2020-09-12,440,440,440,76.92,76.92,76.92,572,572,572
DC,2020-09-13,424,424,424,75.99,75.99,75.99,558,558,558
DC,2020-09-14,424,424,424,73.23,73.23,73.23,579,579,579
DC,2020-09-15,433,433,433,73.39,73.39,73.39,590,590,590
DC,2020-09-16,437,437,437,75.34,75.34,75.34,580,580,580
DC,2020-09-17,407,407,407,69.81,69.81,69.81,583,583,583
DC,2020-09-18,436,436,436,75.30,75.30,75.30,579,579,579
DC,2020-09-19,452,452,452,78.61,78.61,78.61,575,575,575
DC,2020-09-20,435,435,435,76.72,76.72,76.72,567,567,567
DC,2020-09-21,424,424,424,74.13,74.13,74.13,572,572,572
DC,2020-09-22,439,439,439,75.17,75.17,75.17,584,584,584
DC,2020-09-23,416,416,416,71.11,71.11,71.11,585,585,585
DC,2020-09-24,446,446,446,75.08,75.08,75.08,594,594,594
DC,2020-09-25,462,462,462,78.44,78.44,78.44,589,589,589
DC,2020-09-26,449,449,449,76.62,76.62,76.62,586,586,586
DC,2020-09-27,434,434,434,76.54,76.54,76.54,567,567,567
DC,2020-09-28,430,420,440,76.79,70.90,82.67,560,547,573
AL,2020-08-28,"1,741","1,741","1,741",82.16,82.16,82.16,"2,119","2,119","2,119"
AR,2020-08-28,875,860,890,66.49,62.97,70.01,"1,316","1,296","1,336"
CT,2020-08-28,610,610,610,46.71,46.71,46.71,"1,306","1,306","1,306"
GA,2020-08-28,"2,402","2,261","2,543",77.93,66.57,89.29,"3,157","3,011","3,303"
ID,2020-08-28,278,277,279,56.97,56.36,57.58,488,488,488
IN,2020-08-28,"1,726","1,702","1,750",63.57,60.71,66.44,"2,715","2,684","2,746"
LA,2020-08-28,"1,579","1,575","1,583",65.14,64.72,65.56,"2,424","2,424","2,424"
MD,2020-08-28,"1,104","1,104","1,104",69.83,69.83,69.83,"1,581","1,581","1,581"
AL,2020-08-29,"1,758","1,755","1,760",82.94,82.49,83.39,"2,119","2,115","2,123"
AR,2020-08-29,870,800,940,66.00,48.07,83.92,"1,318","1,218","1,418"
CT,2020-08-29,585,585,585,44.79,44.79,44.79,"1,306","1,306","1,306"
GA,2020-08-29,"2,412","2,272","2,551",78.55,67.31,89.80,"3,145","3,001","3,289"
ID,2020-08-29,261,260,262,53.55,53.07,54.03,488,488,488
IN,2020-08-29,"1,637","1,541","1,733",60.16,48.74,71.59,"2,721","2,600","2,842"
LA,2020-08-29,"1,596","1,573","1,620",64.45,61.92,66.98,"2,477","2,463","2,490"
MD,2020-08-29,"1,082",984,"1,181",68.61,49.10,88.12,"1,578","1,460","1,695"
AL,2020-08-30,"1,721","1,721","1,721",81.41,81.41,81.41,"2,114","2,114","2,114"
AR,2020-08-30,829,795,864,63.06,56.41,69.72,"1,314","1,302","1,326"
CT,2020-08-30,570,570,570,43.95,43.95,43.95,"1,297","1,297","1,297"
GA,2020-08-30,"2,368","2,232","2,505",77.16,66.20,88.13,"3,144","3,003","3,285"
ID,2020-08-30,264,261,268,53.69,51.60,55.79,492,489,495
IN,2020-08-30,"1,639","1,521","1,757",59.12,45.33,72.92,"2,772","2,623","2,921"
LA,2020-08-30,"1,595","1,585","1,604",65.96,64.52,67.40,"2,417","2,401","2,434"
MD,2020-08-30,"1,059","1,056","1,062",69.24,68.64,69.84,"1,529","1,525","1,533"
AL,2020-08-31,"1,749","1,749","1,749",82.62,82.62,82.62,"2,117","2,117","2,117"
AR,2020-08-31,855,850,860,65.19,64.96,65.42,"1,310","1,303","1,317"
CT,2020-08-31,591,591,591,45.25,45.25,45.25,"1,306","1,306","1,306"
GA,2020-08-31,"2,357","2,226","2,488",76.67,66.55,86.79,"3,149","3,011","3,287"
ID,2020-08-31,254,254,255,51.94,51.92,51.96,490,490,490
IN,2020-08-31,"1,640","1,540","1,739",58.87,47.40,70.34,"2,785","2,663","2,907"
LA,2020-08-31,"1,613","1,595","1,632",66.97,64.32,69.62,"2,409","2,382","2,436"
MD,2020-08-31,"1,046","1,044","1,049",68.40,67.38,69.41,"1,530","1,521","1,539"
AL,2020-09-01,"1,758","1,757","1,759",83.36,83.26,83.45,"2,109","2,109","2,109"
AR,2020-09-01,898,892,903,67.61,66.29,68.92,"1,328","1,320","1,335"
CT,2020-09-01,644,644,644,49.31,49.31,49.31,"1,306","1,306","1,306"
GA,2020-09-01,"2,442","2,317","2,566",78.63,69.16,88.09,"3,180","3,058","3,302"
ID,2020-09-01,246,245,246,50.48,49.50,51.45,487,484,490
IN,2020-09-01,"1,654","1,617","1,690",59.62,56.01,63.22,"2,774","2,753","2,795"
LA,2020-09-01,"1,655","1,644","1,666",68.54,66.82,70.27,"2,415","2,396","2,434"
MD,2020-09-01,"1,092","1,061","1,123",71.75,65.37,78.12,"1,522","1,485","1,559"
AL,2020-09-02,"1,773","1,759","1,787",84.19,82.13,86.25,"2,106","2,089","2,123"
AR,2020-09-02,955,947,963,68.46,66.88,70.04,"1,395","1,387","1,403"
CT,2020-09-02,642,642,642,49.16,49.16,49.16,"1,306","1,306","1,306"
GA,2020-09-02,"2,469","2,360","2,578",79.29,71.97,86.60,"3,189","3,091","3,287"
ID,2020-09-02,267,267,267,52.18,52.18,52.18,512,512,512
IN,2020-09-02,"1,700","1,672","1,727",61.27,58.68,63.87,"2,774","2,765","2,783"
LA,2020-09-02,"1,652","1,641","1,663",68.58,66.82,70.34,"2,409","2,390","2,429"
MD,2020-09-02,"1,137","1,137","1,137",73.40,73.30,73.50,"1,549","1,548","1,550"
AL,2020-09-03,"1,774","1,773","1,775",84.12,84.02,84.21,"2,109","2,109","2,109"
AR,2020-09-03,945,939,951,68.08,66.83,69.34,"1,388","1,380","1,396"
CT,2020-09-03,623,623,623,48.00,48.00,48.00,"1,298","1,298","1,298"
GA,2020-09-03,"2,465","2,373","2,557",79.28,76.43,82.14,"3,184","3,147","3,221"
ID,2020-09-03,258,258,258,50.19,50.19,50.19,514,514,514
IN,2020-09-03,"1,682","1,678","1,685",60.25,59.71,60.79,"2,791","2,783","2,799"
LA,2020-09-03,"1,661","1,649","1,672",67.60,65.65,69.56,"2,456","2,433","2,480"
MD,2020-09-03,"1,114","1,114","1,114",72.20,72.20,72.20,"1,543","1,543","1,543"
AL,2020-09-04,"1,769","1,769","1,769",83.84,83.84,83.84,"2,110","2,110","2,110"
AR,2020-09-04,907,892,922,65.02,61.74,68.29,"1,395","1,378","1,412"
CT,2020-09-04,637,637,637,49.08,49.08,49.08,"1,298","1,298","1,298"
GA,2020-09-04,"2,465","2,370","2,559",79.57,75.95,83.20,"3,166","3,120","3,212"
ID,2020-09-04,264,263,265,50.97,50.97,50.97,518,518,518
IN,2020-09-04,"1,682","1,638","1,726",60.31,54.77,65.85,"2,789","2,722","2,856"
LA,2020-09-04,"1,595","1,582","1,607",65.41,63.40,67.42,"2,438","2,415","2,462"
MD,2020-09-04,"1,116","1,024","1,208",72.26,53.96,90.56,"1,544","1,437","1,652"
AL,2020-09-05,"1,738","1,738","1,738",82.29,82.29,82.29,"2,112","2,112","2,112"
AR,2020-09-05,930,891,968,66.35,59.20,73.50,"1,401","1,379","1,423"
CT,2020-09-05,622,622,622,47.92,47.92,47.92,"1,298","1,298","1,298"
GA,2020-09-05,"2,410","2,317","2,502",77.59,74.56,80.63,"3,174","3,135","3,213"
ID,2020-09-05,253,253,253,49.03,48.12,49.94,516,513,519
IN,2020-09-05,"1,662","1,653","1,671",59.66,58.67,60.64,"2,786","2,775","2,797"
LA,2020-09-05,"1,553","1,542","1,564",64.09,64.09,64.09,"2,423","2,403","2,443"
MD,2020-09-05,"1,084","1,082","1,087",70.92,70.41,71.42,"1,529","1,526","1,532"
AL,2020-09-06,"1,698","1,698","1,698",80.51,80.51,80.51,"2,109","2,109","2,109"
AR,2020-09-06,889,851,928,63.74,56.34,71.14,"1,395","1,372","1,418"
CT,2020-09-06,584,584,584,44.99,44.99,44.99,"1,298","1,298","1,298"
GA,2020-09-06,"2,312","2,220","2,404",74.43,71.96,76.90,"3,174","3,144","3,204"
ID,2020-09-06,246,238,253,47.76,42.28,53.24,514,502,526
IN,2020-09-06,"1,611","1,611","1,611",58.43,58.43,58.43,"2,757","2,757","2,757"
LA,2020-09-06,"1,545","1,533","1,557",64.00,63.83,64.18,"2,414","2,393","2,435"
MD,2020-09-06,"1,110","1,100","1,119",72.64,70.53,74.74,"1,528","1,515","1,540"
AL,2020-09-07,"1,685","1,682","1,688",80.05,79.69,80.40,"2,105","2,102","2,108"
AR,2020-09-07,886,870,901,63.18,59.68,66.68,"1,402","1,383","1,421"
CT,2020-09-07,581,581,581,44.76,44.76,44.76,"1,298","1,298","1,298"
GA,2020-09-07,"2,302","2,211","2,392",74.10,71.75,76.45,"3,174","3,143","3,205"
ID,2020-09-07,236,233,239,45.91,44.06,47.77,514,511,517
IN,2020-09-07,"1,577","1,577","1,577",57.20,57.20,57.20,"2,757","2,757","2,757"
LA,2020-09-07,"1,528","1,503","1,553",62.55,60.22,64.87,"2,443","2,423","2,463"
MD,2020-09-07,"1,082","1,080","1,085",69.85,69.35,70.35,"1,550","1,547","1,553"
