state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2020-10-13,"59,599","59,305","59,893",71.17,70.16,72.18,"83,254","82,841","83,667"
CW,2020-10-14,"60,139","59,848","60,430",71.80,70.76,72.83,"83,368","82,964","83,773"
CW,2020-10-15,"60,544","60,264","60,824",71.72,70.73,72.71,"83,762","83,372","84,152"
CW,2020-10-16,"60,548","60,287","60,809",71.56,70.63,72.48,"84,026","83,662","84,390"
CW,2020-10-17,"59,448","59,192","59,704",70.36,69.43,71.28,"83,915","83,555","84,275"
CW,2020-10-18,"57,907","57,661","58,152",68.71,67.82,69.60,"83,743","83,397","84,090"
CW,2020-10-19,"58,111","57,924","58,298",68.74,68.08,69.40,"84,038","83,758","84,319"
CW,2020-10-20,"60,748","60,616","60,879",71.40,70.89,71.91,"84,729","84,515","84,943"
CW,2020-10-21,"61,332","61,184","61,480",71.90,71.31,72.49,"84,964","84,734","85,194"
CW,2020-10-22,"61,132","61,021","61,244",71.59,71.15,72.03,"85,068","84,884","85,251"
CW,2020-10-23,"61,352","61,203","61,502",71.72,71.16,72.27,"85,229","85,021","85,438"
CW,2020-10-24,"60,035","59,870","60,199",70.39,69.77,71.01,"84,991","84,764","85,219"
CW,2020-10-25,"58,451","58,318","58,585",68.72,68.20,69.24,"84,766","84,567","84,965"
CW,2020-10-26,"58,166","58,079","58,252",68.43,68.09,68.78,"84,725","84,577","84,873"
CW,2020-10-27,"60,720","60,625","60,814",70.98,70.56,71.40,"85,268","85,087","85,449"
CW,2020-10-28,"61,634","61,480","61,787",72.09,71.50,72.69,"85,224","85,004","85,444"
CW,2020-10-29,"62,002","61,838","62,166",72.06,71.46,72.66,"85,764","85,551","85,977"
CW,2020-10-30,"61,798","61,617","61,978",72.01,71.35,72.68,"85,735","85,510","85,961"
CW,2020-10-31,"60,636","60,410","60,862",70.76,69.92,71.59,"85,614","85,331","85,897"
CW,2020-11-01,"59,120","58,902","59,338",69.32,68.50,70.13,"85,215","84,938","85,492"
CW,2020-11-02,"59,048","58,861","59,235",69.29,68.58,69.99,"85,147","84,907","85,386"
CW,2020-11-03,"61,487","61,292","61,681",71.84,71.12,72.56,"85,507","85,267","85,747"
CW,2020-11-04,"62,269","62,044","62,494",72.56,71.72,73.40,"85,736","85,449","86,022"
CW,2020-11-05,"62,161","61,957","62,366",72.85,72.50,73.19,"85,245","84,994","85,496"
CW,2020-11-06,"62,210","62,013","62,406",72.91,72.73,73.10,"85,231","84,999","85,463"
CW,2020-11-07,"61,134","60,891","61,377",71.83,71.31,72.35,"85,033","84,747","85,320"
CW,2020-11-08,"60,529","60,291","60,767",71.17,70.74,71.61,"84,968","84,685","85,251"
CW,2020-11-09,"60,715","60,470","60,960",71.57,71.10,72.04,"84,753","84,460","85,046"
CW,2020-11-10,"63,330","63,100","63,560",74.44,74.10,74.78,"85,005","84,729","85,282"
CW,2020-11-11,"64,256","64,017","64,495",75.39,74.97,75.82,"85,147","84,856","85,439"
CW,2020-11-12,"64,326","63,976","64,676",74.65,73.59,75.71,"86,086","85,636","86,536"
AK,2020-10-13,84,84,84,61.31,61.31,61.31,137,137,137
AL,2020-10-13,"1,276","1,267","1,285",84.73,82.94,86.52,"1,506","1,496","1,516"
AR,2020-10-13,744,742,746,74.37,71.35,77.39,995,976,"1,014"
AZ,2020-10-13,"1,001",985,"1,017",55.43,52.61,58.25,"1,806","1,788","1,824"
CA,2020-10-13,"4,838","4,828","4,848",69.03,68.49,69.56,"7,009","6,992","7,026"
CT,2020-10-13,526,526,526,50.29,50.29,50.29,"1,046","1,046","1,046"
DC,2020-10-13,245,245,245,68.44,68.44,68.44,358,358,358
DE,2020-10-13,131,131,131,75.29,75.29,75.29,174,174,174
FL,2020-10-13,"4,810","4,795","4,825",77.27,76.46,78.08,"6,225","6,204","6,246"
GA,2020-10-13,"2,095","2,075","2,115",79.63,77.97,81.29,"2,631","2,604","2,658"
IA,2020-10-13,482,482,482,69.96,69.96,69.96,689,689,689
ID,2020-10-13,205,205,205,68.79,68.79,68.79,298,298,298
IL,2020-10-13,"2,138","2,076","2,200",58.16,55.91,60.41,"3,516","3,409","3,623"
IN,2020-10-13,"1,517","1,508","1,526",68.00,66.44,69.55,"2,231","2,215","2,247"
KS,2020-10-13,607,590,624,78.69,72.62,84.75,746,717,775
