state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL,geocoded_state
CW,2021/04/17,59162,59066,59258,70.93,70.75,71.1,83411,83281,83541,
CW,2021/04/18,57366,57266,57466,69.06,68.89,69.23,83062,82940,83185,
CW,2021/04/19,57437,57348,57526,69.06,68.95,69.18,83164,83041,83288,
CW,2021/04/20,60273,60180,60365,72.1,71.95,72.24,83600,83473,83726,
CW,2021/04/21,60615,60521,60709,72.56,72.39,72.73,83534,83403,83666,
CW,2021/04/22,60584,60492,60676,72.62,72.46,72.78,83423,83296,83550,
CW,2021/04/23,60201,60111,60291,72.15,72.01,72.29,83441,83316,83565,
CW,2021/04/24,58749,58657,58840,70.52,70.26,70.79,83304,83154,83454,
CW,2021/04/25,57382,57306,57458,69.07,69.01,69.13,83074,82968,83181,
CW,2021/04/26,57570,57480,57660,69.36,69.17,69.55,83004,82889,83120,
CW,2021/04/27,59974,59893,60055,71.86,71.55,72.17,83456,83356,83557,
CW,2021/04/28,60975,60904,61046,72.58,72.3,72.87,84008,83908,84108,
CW,2021/04/29,60383,60308,60459,72.22,71.92,72.52,83607,83501,83713,
CW,2021/04/30,60250,60172,60327,72,71.7,72.3,83679,83576,83782,
CW,2021/05/01,58578,58501,58655,70.27,69.97,70.56,83364,83265,83464,
CW,2021/05/02,56904,56838,56970,68.41,68.15,68.66,83186,83099,83273,
CW,2021/05/03,57251,57190,57311,68.99,68.76,69.21,82988,82916,83060,
CW,2021/05/04,59671,59580,59762,71.52,71.05,71.98,83435,83243,83626,
CW,2021/05/05,60260,60186,60335,72.1,71.83,72.36,83585,83509,83661,
CW,2021/05/06,60032,59948,60117,71.6,71.27,71.92,83848,83741,83956,
CW,2021/05/07,59505,59427,59583,71.27,70.96,71.59,83487,83379,83595,
CW,2021/05/08,57929,57841,58016,69.58,69.23,69.92,83260,83143,83378,
CW,2021/05/09,56580,56477,56683,68.01,67.6,68.41,83200,83063,83336,
CW,2021/05/10,56346,56254,56438,68.04,67.68,68.4,82813,82690,82936,
CW,2021/05/11,58671,58574,58768,70.45,70.07,70.84,83278,83147,83410,
CW,2021/05/12,59239,59119,59359,71.03,70.58,71.48,83400,83255,83544,
CW,2021/05/13,58739,58634,58844,70.6,70.3,70.9,83200,83055,83345,
CW,2021/05/14,58065,57953,58176,69.86,69.55,70.17,83120,82974,83265,
CW,2021/05/15,56911,56716,57106,68.8,68.11,69.48,82723,82477,82970,
CW,2021/05/16,55677,55435,55919,67.35,66.49,68.22,82663,82366,82961,
CW,2021/05/17,55727,55371,56083,66.92,65.62,68.23,83269,82838,83700,
AK,2021/04/17,88,88,88,65.19,65.19,65.19,135,135,135,POINT (-151.631889 63.631126)
AL,2021/04/17,1254,1254,1254,79.22,79.22,79.22,1583,1583,1583,POINT (-86.844516 32.756889)
