state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-08-18,"489,873","487,453","492,293",68.03,67.39,68.68,"701,765","698,684","704,846"
CW,2020-08-19,"499,833","497,559","502,107",69.26,68.70,69.82,"703,351","700,411","706,291"
CW,2020-08-20,"499,956","497,818","502,094",68.83,68.39,69.28,"707,737","704,976","710,498"
CW,2020-08-21,"496,544","493,664","499,425",68.24,67.25,69.23,"708,898","705,285","712,512"
CW,2020-08-22,"479,856","477,428","482,283",66.22,65.47,66.97,"706,285","703,160","709,410"
CW,2020-08-23,"466,826","464,368","469,283",64.61,63.80,65.42,"704,318","701,202","707,433"
CW,2020-08-24,"471,889","469,826","473,952",64.79,64.11,65.47,"710,174","707,414","712,933"
CW,2020-08-25,"493,840","492,016","495,663",67.59,66.99,68.18,"712,758","710,242","715,274"
CW,2020-08-26,"504,902","502,967","506,837",68.54,67.75,69.33,"718,417","715,833","721,001"
CW,2020-08-27,"506,448","504,514","508,381",68.58,67.73,69.42,"720,934","718,294","723,574"
CW,2020-08-28,"497,531","495,757","499,305",67.69,66.92,68.45,"718,027","715,645","720,409"
CW,2020-08-29,"478,659","476,657","480,660",65.45,64.65,66.25,"714,275","711,621","716,929"
CW,2020-08-30,"464,632","462,447","466,816",63.70,62.75,64.66,"712,134","708,894","715,374"
CW,2020-08-31,"467,462","465,819","469,106",64.10,63.48,64.72,"712,153","709,965","714,342"
CW,2020-09-01,"480,237","478,567","481,908",65.45,64.84,66.05,"716,191","714,014","718,369"
CW,2020-09-02,"489,836","488,500","491,171",66.43,66.07,66.79,"719,648","717,992","721,303"
CW,2020-09-03,"488,481","487,169","489,792",66.55,66.19,66.91,"716,554","714,929","718,180"
CW,2020-09-04,"484,071","482,680","485,462",66.01,65.60,66.42,"715,520","713,829","717,211"
CW,2020-09-05,"466,124","464,603","467,645",63.73,63.23,64.24,"713,691","711,756","715,626"
CW,2020-09-06,"455,923","454,023","457,824",62.78,62.06,63.50,"709,070","706,642","711,499"
CW,2020-09-07,"452,228","450,616","453,840",62.19,61.65,62.74,"710,055","708,053","712,057"
CW,2020-09-08,"462,309","460,958","463,660",63.46,63.07,63.84,"711,194","709,498","712,889"
CW,2020-09-09,"491,147","489,788","492,506",67.00,66.59,67.41,"715,576","713,792","717,359"
CW,2020-09-10,"501,124","499,790","502,457",68.30,67.92,68.67,"716,591","714,900","718,282"
CW,2020-09-11,"502,176","500,818","503,533",68.29,67.84,68.73,"717,848","716,122","719,574"
CW,2020-09-12,"483,595","482,096","485,093",66.03,65.51,66.55,"714,805","712,854","716,756"
CW,2020-09-13,"468,175","466,217","470,133",64.48,63.77,65.20,"708,664","706,526","710,803"
CW,2020-09-14,"472,443","471,058","473,828",64.78,64.32,65.23,"712,221","710,371","714,072"
CW,2020-09-15,"494,513","493,079","495,948",67.92,67.48,68.36,"711,054","709,334","712,773"
CW,2020-09-16,"501,225","499,868","502,582",68.81,68.37,69.25,"711,505","709,653","713,357"
CW,2020-09-17,"502,802","501,401","504,202",68.86,68.45,69.27,"712,309","710,539","714,079"
CW,2020-09-18,"499,457","497,401","501,513",68.41,67.61,69.22,"711,688","709,015","714,361"
AL,2020-08-18,"10,385","10,350","10,420",73.47,72.59,74.35,"14,135","14,080","14,190"
DC,2020-08-18,"2,215","2,032","2,398",82.31,61.51,103.11,"2,691","2,477","2,905"
AL,2020-08-19,"10,447","10,339","10,556",74.13,71.95,76.30,"14,094","13,993","14,195"
DC,2020-08-19,"2,236","2,236","2,236",82.78,82.78,82.78,"2,701","2,701","2,701"
AL,2020-08-20,"10,464","10,444","10,483",74.07,73.62,74.52,"14,127","14,101","14,153"
DC,2020-08-20,"2,278","2,278","2,278",82.87,82.87,82.87,"2,749","2,749","2,749"
AL,2020-08-21,"10,135","10,121","10,149",72.03,71.72,72.34,"14,071","14,054","14,088"
DC,2020-08-21,"2,249","2,151","2,347",83.33,71.87,94.78,"2,699","2,577","2,821"
AL,2020-08-22,"9,615","9,588","9,642",68.45,67.83,69.08,"14,046","14,010","14,082"
DC,2020-08-22,"1,953","1,855","2,051",79.58,66.99,92.18,"2,454","2,332","2,576"
AL,2020-08-23,"9,545","9,516","9,573",67.93,67.28,68.59,"14,050","14,012","14,087"
DC,2020-08-23,"1,913","1,913","1,913",77.39,77.39,77.39,"2,472","2,472","2,472"
AL,2020-08-24,"9,560","9,543","9,578",67.73,67.12,68.34,"14,115","14,070","14,161"
DC,2020-08-24,"2,112","2,112","2,112",77.50,77.50,77.50,"2,725","2,725","2,725"
AL,2020-08-25,"10,042","10,022","10,061",71.06,70.51,71.61,"14,131","14,093","14,169"
DC,2020-08-25,"2,264","2,264","2,264",82.27,82.27,82.27,"2,752","2,752","2,752"
AL,2020-08-26,"10,385","10,330","10,440",73.66,72.20,75.12,"14,099","14,005","14,193"
DC,2020-08-26,"2,282","2,282","2,282",83.22,83.22,83.22,"2,742","2,742","2,742"
AL,2020-08-27,"10,237","10,234","10,240",72.71,72.71,72.71,"14,079","14,079","14,079"
DC,2020-08-27,"2,323","2,323","2,323",85.72,85.72,85.72,"2,710","2,710","2,710"
AL,2020-08-28,"10,114","10,105","10,123",71.79,71.59,71.98,"14,089","14,078","14,100"
DC,2020-08-28,"2,304","2,304","2,304",84.43,84.43,84.43,"2,729","2,729","2,729"
AL,2020-08-29,"9,534","9,508","9,561",67.79,67.05,68.54,"14,064","14,013","14,114"
DC,2020-08-29,"2,257","2,257","2,257",79.47,79.47,79.47,"2,840","2,840","2,840"
AL,2020-08-30,"9,323","9,301","9,345",66.34,65.79,66.90,"14,052","14,018","14,087"
DC,2020-08-30,"2,183","2,079","2,287",81.06,69.15,92.97,"2,693","2,569","2,817"
AL,2020-08-31,"9,598","9,588","9,609",68.22,67.99,68.44,"14,070","14,059","14,082"
DC,2020-08-31,"2,161","2,161","2,161",78.70,78.70,78.70,"2,746","2,746","2,746"
AL,2020-09-01,"10,096","10,084","10,107",71.77,71.52,72.01,"14,067","14,054","14,080"
DC,2020-09-01,"2,263","2,263","2,263",81.58,81.58,81.58,"2,774","2,774","2,774"
AL,2020-09-02,"10,349","10,224","10,474",73.72,70.69,76.74,"14,039","13,859","14,219"
DC,2020-09-02,"2,320","2,320","2,320",83.33,83.33,83.33,"2,784","2,784","2,784"
AL,2020-09-03,"10,269","10,254","10,284",73.04,72.66,73.42,"14,059","14,035","14,083"
DC,2020-09-03,"2,279","2,279","2,279",81.39,81.39,81.39,"2,800","2,800","2,800"
AL,2020-09-04,"10,048","10,045","10,052",71.53,71.37,71.69,"14,048","14,036","14,060"
DC,2020-09-04,"2,224","2,224","2,224",79.66,79.66,79.66,"2,792","2,792","2,792"
AL,2020-09-05,"9,300","9,274","9,326",64.95,64.33,65.56,"14,319","14,281","14,357"
DC,2020-09-05,"1,937","1,937","1,937",75.96,75.96,75.96,"2,550","2,550","2,550"
AL,2020-09-06,"8,888","8,863","8,913",63.23,62.62,63.85,"14,056","14,018","14,094"
DC,2020-09-06,"1,912","1,912","1,912",75.99,75.99,75.99,"2,516","2,516","2,516"
AL,2020-09-07,"8,957","8,928","8,985",63.94,63.22,64.65,"14,009","13,965","14,053"
DC,2020-09-07,"1,904","1,904","1,904",75.08,75.08,75.08,"2,536","2,536","2,536"
AL,2020-09-08,"9,287","9,264","9,310",66.23,65.63,66.82,"14,023","13,985","14,061"
DC,2020-09-08,"2,199","2,199","2,199",78.48,78.48,78.48,"2,802","2,802","2,802"
AL,2020-09-09,"9,944","9,920","9,969",71.12,70.50,71.74,"13,983","13,945","14,021"
DC,2020-09-09,"2,291","2,291","2,291",80.44,80.44,80.44,"2,848","2,848","2,848"
AL,2020-09-10,"10,032","10,018","10,045",71.99,71.69,72.29,"13,934","13,918","13,950"
DC,2020-09-10,"2,347","2,347","2,347",82.82,82.82,82.82,"2,834","2,834","2,834"
AL,2020-09-11,"9,966","9,869","10,064",71.01,69.31,72.71,"14,035","13,999","14,071"
DC,2020-09-11,"2,356","2,183","2,529",82.55,62.43,102.67,"2,854","2,617","3,091"
AL,2020-09-12,"9,590","9,571","9,609",68.23,67.69,68.77,"14,055","14,019","14,091"
DC,2020-09-12,"2,278","2,278","2,278",81.68,81.68,81.68,"2,789","2,789","2,789"
AL,2020-09-13,"9,291","9,269","9,314",66.26,65.71,66.82,"14,022","13,988","14,056"
DC,2020-09-13,"2,224","2,224","2,224",79.77,79.77,79.77,"2,788","2,788","2,788"
AL,2020-09-14,"9,589","9,573","9,605",68.35,67.93,68.78,"14,029","14,001","14,057"
DC,2020-09-14,"2,247","2,247","2,247",78.98,78.98,78.98,"2,845","2,845","2,845"
AL,2020-09-15,"9,967","9,951","9,983",70.95,70.58,71.32,"14,048","14,028","14,068"
