state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/03/22,475970,475926,476014,68.4,68.39,68.42,695801,695734,695868,
CW,2021/03/23,501064,500875,501253,71.56,71.48,71.64,700195,700013,700377,
CW,2021/03/24,509908,509743,510074,72.62,72.55,72.7,702156,701944,702369,
CW,2021/03/25,509619,509476,509762,72.5,72.43,72.57,702910,702694,703127,
CW,2021/03/26,506032,505778,506286,72.14,72.04,72.23,701516,701346,701685,
CW,2021/03/27,487752,487624,487880,69.79,69.73,69.84,698961,698803,699119,
CW,2021/03/28,472844,472667,473021,68.02,67.95,68.09,695181,695008,695354,
CW,2021/03/29,479333,479189,479478,68.92,68.86,68.99,695463,695302,695623,
CW,2021/03/30,501278,500914,501642,71.6,71.45,71.76,700106,699706,700507,
CW,2021/03/31,508887,508654,509120,72.51,72.42,72.6,701849,701682,702016,
CW,2021/04/01,506543,506254,506832,72.24,72.11,72.36,701228,700904,701551,
CW,2021/04/02,497379,497082,497677,71.17,71.04,71.3,698932,698586,699278,
CW,2021/04/03,474168,473902,474434,68.16,67.96,68.35,695729,695015,696443,
CW,2021/04/04,459857,459717,459997,66.43,66.32,66.54,692244,691834,692655,
CW,2021/04/05,467483,467278,467688,67.44,67.34,67.53,693195,692939,693451,
CW,2021/04/06,497534,497255,497812,71.23,71.11,71.36,698546,698186,698905,
CW,2021/04/07,511332,511034,511630,73.01,72.89,73.12,700458,700175,700742,
CW,2021/04/08,512858,512619,513097,73.28,73.19,73.37,699948,699689,700207,
CW,2021/04/09,509470,509225,509716,72.85,72.73,72.96,699477,699109,699845,
CW,2021/04/10,492490,492278,492701,70.57,70.49,70.66,697931,697680,698181,
CW,2021/04/11,480768,480173,481364,69.26,69,69.52,694263,693569,694957,
CW,2021/04/12,487074,486815,487332,70.17,70.06,70.27,694262,693954,694571,
CW,2021/04/13,512110,512038,512182,73.35,73.31,73.38,698270,698059,698481,
CW,2021/04/14,521206,521134,521277,74.42,74.39,74.46,700411,700192,700630,
CW,2021/04/15,520484,520271,520697,74.3,74.21,74.39,700670,700373,700968,
CW,2021/04/16,516373,516154,516591,73.67,73.57,73.76,701098,700774,701423,
CW,2021/04/17,497928,497459,498397,71.36,71.16,71.57,697860,697298,698421,
CW,2021/04/18,483006,482534,483477,69.63,69.42,69.84,693801,693206,694397,
CW,2021/04/19,488871,488528,489215,70.45,70.29,70.61,693946,693475,694416,
CW,2021/04/20,512467,511642,513291,73.44,73.07,73.81,697813,696792,698834,
CW,2021/04/21,521337,518941,523733,74.51,73.42,75.6,699687,696656,702718,
AL,2021/03/22,9330,9330,9330,67.32,67.32,67.32,13859,13859,13859,POINT (-86.844516 32.756889)
AZ,2021/03/22,8887,8881,8893,64.25,64.09,64.41,13832,13822,13842,POINT (-111.664616 34.293239)
CT,2021/03/22,5844,5844,5844,74.88,74.88,74.88,7805,7805,7805,POINT (-72.738288 41.575155)
DC,2021/03/22,2022,2022,2022,74.26,74.26,74.26,2723,2723,2723,POINT (-77.016275 38.904785)
GA,2021/03/22,14373,14361,14385,75.18,74.99,75.38,19117,19103,19131,POINT (-83.426574 32.638481)
ID,2021/03/22,1789,1789,1789,55.61,55.61,55.61,3217,3217,3217,POINT (-114.659366 44.389073)
IN,2021/03/22,9617,9609,9625,57.11,57.11,57.11,16839,16839,16839,POINT (-86.2818 39.919991)
KS,2021/03/22,4103,4103,4103,52.62,52.62,52.62,7797,7797,7797,POINT (-98.38018 38.484729)
LA,2021/03/22,8159,8155,8163,65.09,65.09,65.09,12534,12534,12534,POINT (-91.840238 30.921314)
MD,2021/03/22,7797,7797,7797,79.17,79.17,79.17,9848,9848,9848,POINT (-76.687282 38.946466)
MI,2021/03/22,15500,15500,15500,73.98,73.98,73.98,20953,20953,20953,POINT (-85.730977 44.874798)
AL,2021/03/23,9843,9843,9843,71.24,71.24,71.24,13817,13817,13817,POINT (-86.844516 32.756889)
AZ,2021/03/23,9445,9445,9445,67.19,67.19,67.19,14057,14057,14057,POINT (-111.664616 34.293239)
CT,2021/03/23,6130,6130,6130,78.55,78.55,78.55,7804,7804,7804,POINT (-72.738288 41.575155)
DC,2021/03/23,2125,2125,2125,77.64,77.64,77.64,2737,2737,2737,POINT (-77.016275 38.904785)
GA,2021/03/23,14854,14854,14854,77.81,77.81,77.81,19089,19089,19089,POINT (-83.426574 32.638481)
ID,2021/03/23,1950,1950,1950,60.09,60.09,60.09,3245,3245,3245,POINT (-114.659366 44.389073)
IN,2021/03/23,10112,10112,10112,60,60,60,16852,16852,16852,POINT (-86.2818 39.919991)
KS,2021/03/23,4293,4293,4293,55,55,55,7806,7806,7806,POINT (-98.38018 38.484729)
LA,2021/03/23,8589,8589,8589,68.16,68.16,68.16,12602,12602,12602,POINT (-91.840238 30.921314)
MD,2021/03/23,8047,8047,8047,80.96,80.96,80.96,9939,9939,9939,POINT (-76.687282 38.946466)
MI,2021/03/23,16287,16286,16288,77.47,77.47,77.47,21024,21024,21024,POINT (-85.730977 44.874798)
AL,2021/03/24,9918,9914,9923,71.62,71.62,71.62,13848,13848,13848,POINT (-86.844516 32.756889)
AZ,2021/03/24,9628,9628,9628,68.21,68.21,68.21,14116,14116,14116,POINT (-111.664616 34.293239)
CT,2021/03/24,6328,6328,6328,80.95,80.95,80.95,7817,7817,7817,POINT (-72.738288 41.575155)
DC,2021/03/24,2173,2173,2173,79.42,79.42,79.42,2736,2736,2736,POINT (-77.016275 38.904785)
GA,2021/03/24,15143,15143,15143,79.27,79.27,79.27,19103,19103,19103,POINT (-83.426574 32.638481)
ID,2021/03/24,1926,1924,1928,59.46,59.46,59.46,3239,3239,3239,POINT (-114.659366 44.389073)
IN,2021/03/24,10349,10349,10349,61.37,61.37,61.37,16862,16862,16862,POINT (-86.2818 39.919991)
KS,2021/03/24,4492,4491,4493,57.39,57.21,57.57,7827,7818,7836,POINT (-98.38018 38.484729)
LA,2021/03/24,8652,8652,8652,69.04,69.04,69.04,12531,12531,12531,POINT (-91.840238 30.921314)
MD,2021/03/24,8215,8215,8215,82.41,82.41,82.41,9969,9969,9969,POINT (-76.687282 38.946466)
MI,2021/03/24,16437,16435,16439,77.94,77.94,77.94,21088,21088,21088,POINT (-85.730977 44.874798)
AL,2021/03/25,9999,9999,9999,72.08,72.08,72.08,13872,13872,13872,POINT (-86.844516 32.756889)
AZ,2021/03/25,9550,9550,9550,67.82,67.82,67.82,14081,14081,14081,POINT (-111.664616 34.293239)
CT,2021/03/25,6339,6339,6339,81.13,81.13,81.13,7813,7813,7813,POINT (-72.738288 41.575155)
DC,2021/03/25,2160,2160,2160,79.32,79.32,79.32,2723,2723,2723,POINT (-77.016275 38.904785)
GA,2021/03/25,15192,15172,15213,78.82,78.47,79.17,19275,19247,19303,POINT (-83.426574 32.638481)
ID,2021/03/25,1881,1881,1881,58.13,58.13,58.13,3236,3236,3236,POINT (-114.659366 44.389073)
IN,2021/03/25,10321,10321,10321,61.31,61.31,61.31,16834,16834,16834,POINT (-86.2818 39.919991)
