state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-09-23,"35,514","35,425","35,603",4.88,4.75,5.01,"715,659","709,872","721,446"
CW,2020-09-24,"35,571","35,479","35,663",4.88,4.75,5.01,"716,510","710,966","722,054"
CW,2020-09-25,"35,390","35,287","35,494",4.85,4.70,5.00,"717,036","711,485","722,586"
CW,2020-09-26,"34,962","34,847","35,077",4.82,4.65,4.98,"713,448","707,878","719,019"
CW,2020-09-27,"34,847","34,731","34,963",4.82,4.64,4.99,"711,734","706,170","717,298"
CW,2020-09-28,"35,835","35,744","35,926",4.96,4.82,5.09,"711,140","705,799","716,480"
CW,2020-09-29,"37,030","36,933","37,127",5.10,4.96,5.25,"714,573","709,324","719,822"
CW,2020-09-30,"36,538","36,464","36,613",5.02,4.92,5.13,"716,361","711,213","721,509"
CW,2020-10-01,"36,382","36,253","36,512",5.01,4.67,5.35,"719,130","713,893","724,368"
CW,2020-10-02,"36,060","35,938","36,183",4.96,4.63,5.29,"718,815","713,756","723,873"
CW,2020-10-03,"35,970","35,852","36,088",4.96,4.63,5.28,"717,409","712,336","722,482"
CW,2020-10-04,"36,719","36,596","36,842",5.08,4.75,5.41,"714,369","709,363","719,376"
CW,2020-10-05,"38,171","38,064","38,277",5.28,4.98,5.58,"715,987","711,434","720,540"
CW,2020-10-06,"39,948","39,848","40,049",5.49,5.22,5.77,"720,225","715,997","724,453"
CW,2020-10-07,"40,255","40,147","40,363",5.52,5.27,5.77,"724,110","720,326","727,894"
CW,2020-10-08,"40,429","40,289","40,569",5.53,5.34,5.72,"725,255","722,862","727,648"
CW,2020-10-09,"40,337","40,241","40,434",5.49,5.36,5.62,"729,217","727,252","731,181"
CW,2020-10-10,"39,880","39,736","40,023",5.44,5.23,5.66,"729,154","726,729","731,580"
CW,2020-10-11,"40,174","39,988","40,361",5.50,5.22,5.78,"726,859","723,816","729,902"
CW,2020-10-12,"41,567","41,376","41,759",5.69,5.42,5.96,"729,152","726,539","731,764"
CW,2020-10-13,"42,868","42,683","43,052",5.84,5.57,6.12,"733,543","730,875","736,211"
CW,2020-10-14,"42,684","42,490","42,878",5.80,5.52,6.09,"735,408","732,639","738,177"
CW,2020-10-15,"42,771","42,607","42,936",5.82,5.56,6.08,"734,667","731,906","737,427"
CW,2020-10-16,"42,953","42,789","43,116",5.85,5.61,6.10,"734,159","731,643","736,675"
CW,2020-10-17,"42,377","42,202","42,551",5.80,5.53,6.06,"730,994","728,317","733,671"
CW,2020-10-18,"42,422","42,247","42,596",5.82,5.56,6.07,"729,189","726,593","731,785"
CW,2020-10-19,"40,995","40,842","41,149",5.60,5.37,5.84,"731,498","729,047","733,949"
CW,2020-10-20,"41,855","41,712","41,998",5.69,5.50,5.88,"735,711","733,947","737,475"
