state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-11-17,"84,237","84,155","84,319",11.88,11.82,11.94,"712,168","711,666","712,670"
CW,2020-11-18,"85,649","85,576","85,722",12.04,11.98,12.10,"714,608","714,085","715,131"
CW,2020-11-19,"86,470","86,353","86,587",12.17,12.03,12.30,"713,811","712,696","714,926"
CW,2020-11-20,"87,480","87,387","87,574",12.41,12.33,12.49,"708,033","707,495","708,571"
CW,2020-11-21,"87,769","87,671","87,868",12.50,12.41,12.58,"705,452","704,873","706,031"
CW,2020-11-22,"89,686","89,586","89,785",12.83,12.75,12.91,"702,286","701,818","702,754"
CW,2020-11-23,"92,315","92,220","92,409",13.17,13.10,13.25,"703,885","703,418","704,351"
CW,2020-11-24,"94,518","94,441","94,594",13.48,13.43,13.53,"704,184","703,907","704,460"
CW,2020-11-25,"94,702","94,619","94,785",13.48,13.41,13.56,"705,317","704,784","705,851"
CW,2020-11-26,"93,511","93,423","93,599",13.38,13.32,13.44,"701,889","701,585","702,194"
CW,2020-11-27,"94,732","94,649","94,815",13.64,13.58,13.70,"697,661","697,327","697,995"
CW,2020-11-28,"96,842","96,753","96,931",13.95,13.87,14.03,"697,274","696,727","697,820"
CW,2020-11-29,"99,368","99,274","99,462",14.31,14.22,14.39,"697,595","697,063","698,127"
CW,2020-11-30,"102,553","102,457","102,650",14.71,14.63,14.79,"700,338","699,854","700,822"
CW,2020-12-01,"105,045","104,964","105,127",14.94,14.87,15.00,"706,302","705,906","706,697"
CW,2020-12-02,"105,210","105,145","105,275",14.93,14.87,14.98,"707,949","707,526","708,372"
CW,2020-12-03,"104,698","104,632","104,765",14.83,14.78,14.87,"709,269","709,012","709,526"
CW,2020-12-04,"104,572","104,508","104,635",14.82,14.77,14.86,"708,932","708,708","709,157"
CW,2020-12-05,"103,941","103,850","104,033",14.82,14.74,14.89,"704,626","704,268","704,984"
CW,2020-12-06,"105,238","105,169","105,308",15.09,15.03,15.14,"700,705","700,438","700,972"
CW,2020-12-07,"108,224","108,159","108,289",15.49,15.43,15.55,"701,095","700,777","701,413"
CW,2020-12-08,"110,706","110,631","110,782",15.75,15.69,15.82,"705,244","704,971","705,517"
CW,2020-12-09,"111,112","111,044","111,180",15.79,15.72,15.85,"706,363","705,970","706,756"
CW,2020-12-10,"111,940","111,864","112,016",15.87,15.81,15.93,"707,692","707,462","707,923"
CW,2020-12-11,"112,099","112,048","112,150",15.91,15.86,15.96,"707,116","706,857","707,375"
CW,2020-12-12,"111,622","111,560","111,685",15.90,15.83,15.96,"704,645","704,236","705,054"
CW,2020-12-13,"113,641","113,581","113,702",16.27,16.22,16.33,"700,832","700,462","701,202"
CW,2020-12-14,"116,402","116,343","116,461",16.63,16.58,16.67,"702,822","702,432","703,211"
CW,2020-12-15,"118,255","118,207","118,303",16.78,16.74,16.81,"707,562","707,122","708,003"
CW,2020-12-16,"118,256","118,175","118,337",16.74,16.66,16.82,"708,985","708,331","709,639"
CW,2020-12-17,"117,663","117,276","118,050",16.71,16.31,17.10,"707,053","704,528","709,578"
AL,2020-11-17,"1,389","1,389","1,389",9.81,9.81,9.81,"14,156","14,156","14,156"
AZ,2020-11-17,"1,739","1,732","1,746",12.87,12.60,13.14,"13,534","13,525","13,543"
CA,2020-11-17,"5,082","5,062","5,102",8.08,7.80,8.35,"62,920","62,736","63,104"
CT,2020-11-17,"1,012","1,012","1,012",12.37,12.37,12.37,"8,184","8,184","8,184"
DC,2020-11-17,234,234,234,8.07,8.07,8.07,"2,901","2,901","2,901"
GA,2020-11-17,"2,095","2,095","2,095",11.06,11.02,11.10,"18,939","18,928","18,950"
ID,2020-11-17,399,399,399,12.28,12.28,12.28,"3,249","3,249","3,249"
