state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/03/09,42738,42700,42776,6.12,6.07,6.16,701113,701004,701222,
CW,2021/03/10,41699,41688,41710,5.95,5.93,5.97,703380,703044,703717,
CW,2021/03/11,40972,40943,41001,5.85,5.82,5.89,702723,702632,702814,
CW,2021/03/12,40684,40658,40711,5.82,5.79,5.85,701901,701768,702035,
CW,2021/03/13,39597,39567,39628,5.69,5.65,5.73,698925,698765,699086,
CW,2021/03/14,39228,39212,39244,5.66,5.64,5.69,695259,694990,695527,
CW,2021/03/15,39949,39926,39973,5.76,5.73,5.8,695718,695426,696011,
CW,2021/03/16,40287,40267,40306,5.78,5.75,5.8,700143,700012,700274,
CW,2021/03/17,39772,39755,39789,5.69,5.67,5.71,701680,701514,701847,
CW,2021/03/18,39371,39350,39392,5.63,5.61,5.66,702118,702003,702232,
CW,2021/03/19,39110,39090,39131,5.6,5.56,5.63,701903,701518,702288,
CW,2021/03/20,37916,37907,37925,5.46,5.44,5.47,697820,697621,698018,
CW,2021/03/21,37905,37892,37919,5.48,5.45,5.5,694944,694681,695207,
CW,2021/03/22,38963,38937,38990,5.63,5.59,5.66,695608,695547,695670,
CW,2021/03/23,39551,39536,39566,5.67,5.65,5.7,700204,700016,700393,
CW,2021/03/24,39462,39435,39488,5.64,5.6,5.69,702144,701755,702534,
CW,2021/03/25,39386,39344,39429,5.63,5.57,5.68,702916,702704,703127,
CW,2021/03/26,39424,39408,39440,5.64,5.62,5.67,701520,701372,701669,
CW,2021/03/27,38848,38799,38897,5.58,5.52,5.64,698964,698803,699125,
CW,2021/03/28,39122,39107,39137,5.65,5.63,5.67,695175,695017,695333,
CW,2021/03/29,40165,40147,40183,5.8,5.78,5.82,695487,695317,695656,
CW,2021/03/30,40639,40613,40665,5.83,5.79,5.87,700099,699675,700523,
CW,2021/03/31,40456,40443,40470,5.79,5.77,5.81,701843,701670,702016,
CW,2021/04/01,40325,40304,40346,5.77,5.74,5.81,701224,700888,701561,
CW,2021/04/02,40046,40006,40087,5.75,5.7,5.81,698988,698627,699349,
CW,2021/04/03,39658,39634,39682,5.72,5.66,5.79,695772,694935,696610,
CW,2021/04/04,40131,40073,40189,5.82,5.72,5.92,692352,691314,693391,
CW,2021/04/05,41545,41511,41579,6.02,5.97,6.07,693010,692593,693427,
CW,2021/04/06,42750,42702,42798,6.14,6.06,6.21,699398,698746,700051,
CW,2021/04/07,42931,42870,42992,6.16,6.06,6.25,699946,699008,700883,
CW,2021/04/08,42780,42562,42998,6.15,5.81,6.49,698407,695121,701693,
AK,2021/03/09,34,34,34,2.29,2.29,2.29,1483,1462,1504,POINT (-151.631889 63.631126)
AL,2021/03/09,577,577,577,4.14,4.14,4.14,13947,13947,13947,POINT (-86.844516 32.756889)
AR,2021/03/09,342,342,342,4.44,4.44,4.44,7702,7686,7718,POINT (-92.439162 34.899825)
AZ,2021/03/09,875,874,876,6.2,6.12,6.27,14132,14115,14149,POINT (-111.664616 34.293239)
CA,2021/03/09,4051,4045,4057,6.87,6.79,6.96,58933,58893,58973,POINT (-119.662127 37.211164)
CO,2021/03/09,385,385,385,3.79,3.79,3.79,10148,10148,10148,POINT (-105.547832 38.998552)
CT,2021/03/09,456,453,459,5.88,5.88,5.88,7761,7761,7761,POINT (-72.738288 41.575155)
DC,2021/03/09,213,213,213,7.81,7.81,7.81,2727,2727,2727,POINT (-77.016275 38.904785)
DE,2021/03/09,100,100,100,3.87,3.87,3.87,2583,2583,2583,POINT (-75.452394 38.994926)
FL,2021/03/09,3727,3722,3732,7.21,7.21,7.21,52640,52640,52640,POINT (-82.420978 28.260731)
GA,2021/03/09,1940,1940,1940,10.09,10,10.18,19228,19201,19255,POINT (-83.426574 32.638481)
HI,2021/03/09,28,28,28,1.13,1.13,1.13,2469,2469,2469,POINT (-157.854309 21.361013)
IA,2021/03/09,182,182,182,2.4,2.4,2.4,7690,7690,7690,POINT (-93.500061 42.074659)
ID,2021/03/09,145,145,145,4.53,4.53,4.53,3198,3198,3198,POINT (-114.659366 44.389073)
IL,2021/03/09,1221,1215,1227,4.24,4.24,4.24,28818,28818,28818,POINT (-89.148632 40.124144)
IN,2021/03/09,642,642,642,3.81,3.81,3.81,16855,16855,16855,POINT (-86.2818 39.919991)
KS,2021/03/09,244,244,244,3.13,3.13,3.13,7797,7797,7797,POINT (-98.38018 38.484729)
KY,2021/03/09,537,537,537,4.36,4.36,4.36,12313,12313,12313,POINT (-85.290484 37.526683)
LA,2021/03/09,465,465,465,3.7,3.7,3.7,12581,12581,12581,POINT (-91.840238 30.921314)
MA,2021/03/09,606,606,606,3.62,3.62,3.62,16749,16749,16749,POINT (-71.481104 42.151077)
MD,2021/03/09,1027,1027,1027,10.36,10.36,10.36,9914,9914,9914,POINT (-76.687282 38.946466)
ME,2021/03/09,86,86,86,3,3,3,2869,2869,2869,POINT (-69.06137 45.117911)
MI,2021/03/09,946,945,947,4.49,4.43,4.55,21078,21051,21105,POINT (-85.730977 44.874798)
MN,2021/03/09,314,314,314,3.34,3.34,3.34,9406,9406,9406,POINT (-94.198308 46.349153)
MS,2021/03/09,386,386,386,4.96,4.96,4.96,7782,7782,7782,POINT (-89.65344 32.713378)
MT,2021/03/09,52,52,52,1.82,1.82,1.82,2855,2855,2855,POINT (-109.645127 47.033521)
ND,2021/03/09,81,81,81,3.95,3.95,3.95,2052,2052,2052,POINT (-100.46931 47.446305)
NJ,2021/03/09,1925,1925,1925,9.5,9.5,9.5,20264,20264,20264,POINT (-74.655514 40.110253)
NV,2021/03/09,384,382,386,5.08,5.08,5.08,7563,7563,7563,POINT (-114.916992 39.283294)
NY,2021/03/09,5667,5667,5667,11.79,11.79,11.79,48057,48034,48080,POINT (-75.59655 42.921241)
OK,2021/03/09,445,422,468,4.72,2.5,6.93,9556,9545,9567,POINT (-97.508297 35.583449)
SC,2021/03/09,579,579,579,5.87,5.87,5.87,9865,9865,9865,POINT (-80.864614 33.878572)
TN,2021/03/09,763,763,763,4.46,4.46,4.46,17575,17575,17575,POINT (-86.343226 35.842998)
UT,2021/03/09,182,182,182,3.43,3.32,3.54,5301,5285,5317,POINT (-111.678222 39.323779)
AK,2021/03/10,40,40,40,2.69,2.69,2.69,1485,1485,1485,POINT (-151.631889 63.631126)
AL,2021/03/10,544,544,544,3.88,3.88,3.88,14024,14024,14024,POINT (-86.844516 32.756889)
AR,2021/03/10,334,334,334,4.33,4.33,4.33,7708,7694,7722,POINT (-92.439162 34.899825)
AZ,2021/03/10,846,843,848,5.96,5.96,5.96,14206,14198,14214,POINT (-111.664616 34.293239)
CA,2021/03/10,3895,3893,3897,6.56,6.53,6.59,59363,59337,59389,POINT (-119.662127 37.211164)
CO,2021/03/10,384,384,384,3.79,3.79,3.79,10144,10144,10144,POINT (-105.547832 38.998552)
CT,2021/03/10,474,474,474,6.11,6.11,6.11,7760,7760,7760,POINT (-72.738288 41.575155)
DC,2021/03/10,220,220,220,8.04,8.04,8.04,2736,2736,2736,POINT (-77.016275 38.904785)
DE,2021/03/10,100,100,100,3.83,3.83,3.83,2608,2608,2608,POINT (-75.452394 38.994926)
FL,2021/03/10,3620,3615,3625,7.01,7.01,7.01,52626,52397,52855,POINT (-82.420978 28.260731)
GA,2021/03/10,1832,1830,1835,9.53,9.27,9.78,19238,19164,19312,POINT (-83.426574 32.638481)
HI,2021/03/10,37,37,37,1.49,1.49,1.49,2478,2478,2478,POINT (-157.854309 21.361013)
IA,2021/03/10,176,175,176,2.31,2.31,2.31,7682,7645,7719,POINT (-93.500061 42.074659)
ID,2021/03/10,153,153,153,4.74,4.74,4.74,3229,3229,3229,POINT (-114.659366 44.389073)
IL,2021/03/10,1174,1168,1179,4.07,4.07,4.07,28829,28829,28829,POINT (-89.148632 40.124144)
IN,2021/03/10,589,587,591,3.49,3.49,3.49,16894,16894,16894,POINT (-86.2818 39.919991)
KS,2021/03/10,231,231,231,2.96,2.96,2.96,7810,7810,7810,POINT (-98.38018 38.484729)
KY,2021/03/10,542,542,542,4.4,4.4,4.4,12315,12315,12315,POINT (-85.290484 37.526683)
LA,2021/03/10,456,453,458,3.62,3.35,3.88,12600,12535,12665,POINT (-91.840238 30.921314)
MA,2021/03/10,598,597,599,3.56,3.5,3.61,16817,16800,16834,POINT (-71.481104 42.151077)
MD,2021/03/10,1016,1016,1016,10.23,10.23,10.23,9932,9932,9932,POINT (-76.687282 38.946466)
ME,2021/03/10,94,94,94,3.28,3.28,3.28,2864,2864,2864,POINT (-69.06137 45.117911)
MI,2021/03/10,937,937,937,4.44,4.44,4.44,21117,21117,21117,POINT (-85.730977 44.874798)
MN,2021/03/10,306,306,306,3.24,3.24,3.24,9457,9457,9457,POINT (-94.198308 46.349153)
MS,2021/03/10,382,382,382,4.88,4.88,4.88,7834,7834,7834,POINT (-89.65344 32.713378)
MT,2021/03/10,50,49,51,1.75,1.75,1.75,2855,2855,2855,POINT (-109.645127 47.033521)
ND,2021/03/10,80,80,80,3.9,3.9,3.9,2053,2053,2053,POINT (-100.46931 47.446305)
NJ,2021/03/10,1914,1913,1916,9.46,9.46,9.46,20247,20247,20247,POINT (-74.655514 40.110253)
NV,2021/03/10,367,366,368,4.85,4.85,4.85,7574,7574,7574,POINT (-114.916992 39.283294)
NY,2021/03/10,5522,5518,5525,11.49,11.39,11.6,48051,47980,48122,POINT (-75.59655 42.921241)
OK,2021/03/10,428,427,430,4.52,4.4,4.64,9605,9537,9673,POINT (-97.508297 35.583449)
SC,2021/03/10,565,565,565,5.73,5.73,5.73,9864,9864,9864,POINT (-80.864614 33.878572)
TN,2021/03/10,744,743,744,4.35,4.35,4.35,17562,17505,17618,POINT (-86.343226 35.842998)
UT,2021/03/10,186,185,187,3.51,3.51,3.51,5303,5303,5303,POINT (-111.678222 39.323779)
AK,2021/03/11,40,40,40,2.7,2.7,2.7,1482,1482,1482,POINT (-151.631889 63.631126)
AL,2021/03/11,532,532,532,3.8,3.8,3.8,14013,14013,14013,POINT (-86.844516 32.756889)
AR,2021/03/11,307,307,307,4.02,4.02,4.02,7644,7644,7644,POINT (-92.439162 34.899825)
AZ,2021/03/11,787,787,788,5.54,5.49,5.6,14214,14200,14228,POINT (-111.664616 34.293239)
CA,2021/03/11,3760,3759,3761,6.33,6.28,6.38,59430,59375,59485,POINT (-119.662127 37.211164)
CO,2021/03/11,369,366,372,3.64,3.64,3.64,10141,10141,10141,POINT (-105.547832 38.998552)
CT,2021/03/11,448,447,450,5.77,5.77,5.77,7771,7771,7771,POINT (-72.738288 41.575155)
DC,2021/03/11,216,216,216,7.88,7.88,7.88,2740,2740,2740,POINT (-77.016275 38.904785)
DE,2021/03/11,94,94,94,3.63,3.63,3.63,2592,2592,2592,POINT (-75.452394 38.994926)
FL,2021/03/11,3558,3557,3559,6.89,6.89,6.89,52616,52616,52616,POINT (-82.420978 28.260731)
GA,2021/03/11,1833,1831,1835,9.49,9.49,9.49,19310,19310,19310,POINT (-83.426574 32.638481)
HI,2021/03/11,49,49,49,1.98,1.98,1.98,2481,2481,2481,POINT (-157.854309 21.361013)
IA,2021/03/11,173,173,173,2.28,2.28,2.28,7688,7688,7688,POINT (-93.500061 42.074659)
ID,2021/03/11,144,144,144,4.45,4.45,4.45,3236,3236,3236,POINT (-114.659366 44.389073)
IL,2021/03/11,1208,1202,1213,4.19,4.19,4.19,28850,28850,28850,POINT (-89.148632 40.124144)
IN,2021/03/11,598,596,599,3.54,3.54,3.54,16896,16896,16896,POINT (-86.2818 39.919991)
KS,2021/03/11,222,222,222,2.84,2.84,2.84,7818,7818,7818,POINT (-98.38018 38.484729)
KY,2021/03/11,539,539,539,4.38,4.38,4.38,12314,12314,12314,POINT (-85.290484 37.526683)
LA,2021/03/11,425,424,426,3.39,3.39,3.39,12551,12551,12551,POINT (-91.840238 30.921314)
MA,2021/03/11,566,566,566,3.37,3.37,3.37,16813,16813,16813,POINT (-71.481104 42.151077)
MD,2021/03/11,978,978,978,9.85,9.85,9.85,9930,9930,9930,POINT (-76.687282 38.946466)
ME,2021/03/11,93,93,93,3.23,3.23,3.23,2879,2879,2879,POINT (-69.06137 45.117911)
MI,2021/03/11,988,986,989,4.69,4.69,4.69,21036,21036,21036,POINT (-85.730977 44.874798)
MN,2021/03/11,316,316,316,3.34,3.34,3.34,9454,9454,9454,POINT (-94.198308 46.349153)
MS,2021/03/11,382,381,383,4.88,4.88,4.88,7821,7821,7821,POINT (-89.65344 32.713378)
MT,2021/03/11,48,48,48,1.68,1.68,1.68,2859,2859,2859,POINT (-109.645127 47.033521)
ND,2021/03/11,73,73,73,3.58,3.58,3.58,2038,2038,2038,POINT (-100.46931 47.446305)
NJ,2021/03/11,1884,1884,1884,9.28,9.28,9.28,20292,20292,20292,POINT (-74.655514 40.110253)
NV,2021/03/11,339,337,341,4.49,4.49,4.49,7557,7557,7557,POINT (-114.916992 39.283294)
NY,2021/03/11,5374,5374,5374,11.2,11.2,11.2,48002,47979,48025,POINT (-75.59655 42.921241)
OK,2021/03/11,419,419,419,4.41,4.35,4.46,9632,9623,9641,POINT (-97.508297 35.583449)
SC,2021/03/11,560,560,560,5.69,5.69,5.69,9839,9839,9839,POINT (-80.864614 33.878572)
TN,2021/03/11,767,767,767,4.49,4.49,4.49,17583,17583,17583,POINT (-86.343226 35.842998)
UT,2021/03/11,196,196,196,3.7,3.7,3.7,5300,5300,5300,POINT (-111.678222 39.323779)
AK,2021/03/12,43,43,43,2.93,2.93,2.93,1467,1446,1488,POINT (-151.631889 63.631126)
AL,2021/03/12,519,519,519,3.74,3.74,3.74,13890,13890,13890,POINT (-86.844516 32.756889)
AR,2021/03/12,282,279,284,3.68,3.68,3.68,7644,7644,7644,POINT (-92.439162 34.899825)
AZ,2021/03/12,754,754,755,5.32,5.26,5.38,14202,14186,14218,POINT (-111.664616 34.293239)
CA,2021/03/12,3648,3646,3650,6.15,6.11,6.18,59346,59320,59372,POINT (-119.662127 37.211164)
CO,2021/03/12,368,368,368,3.62,3.62,3.62,10162,10162,10162,POINT (-105.547832 38.998552)
CT,2021/03/12,463,463,463,5.95,5.95,5.95,7775,7775,7775,POINT (-72.738288 41.575155)
DC,2021/03/12,199,199,199,7.29,7.29,7.29,2731,2731,2731,POINT (-77.016275 38.904785)
DE,2021/03/12,103,103,103,3.95,3.95,3.95,2608,2608,2608,POINT (-75.452394 38.994926)
FL,2021/03/12,3536,3531,3541,6.86,6.86,6.86,52540,52540,52540,POINT (-82.420978 28.260731)
GA,2021/03/12,1767,1765,1769,9.19,9.19,9.19,19225,19225,19225,POINT (-83.426574 32.638481)
HI,2021/03/12,40,40,40,1.61,1.61,1.61,2479,2479,2479,POINT (-157.854309 21.361013)
IA,2021/03/12,190,189,192,2.51,2.51,2.51,7675,7675,7675,POINT (-93.500061 42.074659)
ID,2021/03/12,148,148,148,4.57,4.57,4.57,3235,3235,3235,POINT (-114.659366 44.389073)
IL,2021/03/12,1170,1165,1175,4.06,4.06,4.06,28801,28801,28801,POINT (-89.148632 40.124144)
IN,2021/03/12,590,579,601,3.49,2.81,4.17,16907,16898,16916,POINT (-86.2818 39.919991)
KS,2021/03/12,230,229,232,2.95,2.95,2.95,7824,7824,7824,POINT (-98.38018 38.484729)
KY,2021/03/12,530,529,531,4.3,4.3,4.3,12318,12318,12318,POINT (-85.290484 37.526683)
LA,2021/03/12,420,418,422,3.33,3.33,3.33,12598,12598,12598,POINT (-91.840238 30.921314)
MA,2021/03/12,566,566,566,3.38,3.38,3.38,16765,16765,16765,POINT (-71.481104 42.151077)
MD,2021/03/12,1033,1033,1033,10.42,10.42,10.42,9912,9912,9912,POINT (-76.687282 38.946466)
ME,2021/03/12,95,95,95,3.31,3.31,3.31,2874,2874,2874,POINT (-69.06137 45.117911)
MI,2021/03/12,999,999,999,4.78,4.78,4.78,20916,20916,20916,POINT (-85.730977 44.874798)
MN,2021/03/12,346,343,349,3.64,3.64,3.64,9517,9517,9517,POINT (-94.198308 46.349153)
MS,2021/03/12,380,380,380,4.86,4.86,4.86,7824,7824,7824,POINT (-89.65344 32.713378)
MT,2021/03/12,48,48,48,1.68,1.68,1.68,2859,2859,2859,POINT (-109.645127 47.033521)
ND,2021/03/12,83,83,83,4.13,4,4.26,2010,2004,2016,POINT (-100.46931 47.446305)
NJ,2021/03/12,1889,1875,1903,9.32,9.32,9.32,20278,20278,20278,POINT (-74.655514 40.110253)
NV,2021/03/12,316,314,319,4.18,4.18,4.18,7556,7556,7556,POINT (-114.916992 39.283294)
NY,2021/03/12,5441,5441,5441,11.33,11.33,11.33,48022,47999,48045,POINT (-75.59655 42.921241)
OK,2021/03/12,410,409,410,4.29,4.13,4.45,9664,9630,9698,POINT (-97.508297 35.583449)
SC,2021/03/12,551,551,551,5.6,5.6,5.6,9842,9842,9842,POINT (-80.864614 33.878572)
TN,2021/03/12,690,689,691,4.04,4.04,4.04,17584,17584,17584,POINT (-86.343226 35.842998)
UT,2021/03/12,190,189,190,3.57,3.57,3.57,5305,5305,5305,POINT (-111.678222 39.323779)
AK,2021/03/13,42,42,42,2.86,2.86,2.86,1469,1445,1493,POINT (-151.631889 63.631126)
AL,2021/03/13,516,516,516,3.73,3.73,3.73,13845,13845,13845,POINT (-86.844516 32.756889)
AR,2021/03/13,285,284,286,3.77,3.77,3.77,7561,7561,7561,POINT (-92.439162 34.899825)
AZ,2021/03/13,711,709,714,5.07,4.91,5.23,14046,14028,14064,POINT (-111.664616 34.293239)
CA,2021/03/13,3550,3547,3552,6.02,6.02,6.02,58994,58994,58994,POINT (-119.662127 37.211164)
CO,2021/03/13,376,376,376,3.7,3.7,3.7,10149,10149,10149,POINT (-105.547832 38.998552)
CT,2021/03/13,480,480,480,6.18,6.18,6.18,7768,7768,7768,POINT (-72.738288 41.575155)
DC,2021/03/13,206,206,206,7.52,7.52,7.52,2738,2738,2738,POINT (-77.016275 38.904785)
DE,2021/03/13,112,112,112,4.31,4.31,4.31,2599,2599,2599,POINT (-75.452394 38.994926)
FL,2021/03/13,3423,3418,3428,6.67,6.67,6.67,52284,52284,52284,POINT (-82.420978 28.260731)
GA,2021/03/13,1698,1697,1698,8.83,8.74,8.92,19224,19195,19253,POINT (-83.426574 32.638481)
HI,2021/03/13,41,41,41,1.66,1.66,1.66,2470,2470,2470,POINT (-157.854309 21.361013)
IA,2021/03/13,177,176,178,2.33,2.23,2.43,7693,7685,7701,POINT (-93.500061 42.074659)
ID,2021/03/13,135,135,135,4.2,4.2,4.2,3214,3214,3214,POINT (-114.659366 44.389073)
IL,2021/03/13,1146,1138,1155,3.98,3.98,3.98,28829,28829,28829,POINT (-89.148632 40.124144)
IN,2021/03/13,568,541,595,3.38,1.6,5.15,16829,16808,16850,POINT (-86.2818 39.919991)
KS,2021/03/13,224,224,224,2.87,2.87,2.87,7817,7817,7817,POINT (-98.38018 38.484729)
KY,2021/03/13,502,501,503,4.08,4.08,4.08,12314,12314,12314,POINT (-85.290484 37.526683)
LA,2021/03/13,397,396,398,3.17,3.17,3.17,12540,12540,12540,POINT (-91.840238 30.921314)
MA,2021/03/13,569,569,569,3.4,3.4,3.4,16727,16727,16727,POINT (-71.481104 42.151077)
MD,2021/03/13,1006,1006,1006,10.2,10.2,10.2,9864,9864,9864,POINT (-76.687282 38.946466)
ME,2021/03/13,98,97,99,3.43,3.43,3.43,2854,2854,2854,POINT (-69.06137 45.117911)
MI,2021/03/13,970,966,974,4.65,4.47,4.83,20848,20821,20875,POINT (-85.730977 44.874798)
MN,2021/03/13,337,337,337,3.59,3.59,3.59,9383,9383,9383,POINT (-94.198308 46.349153)
MS,2021/03/13,383,383,383,4.97,4.97,4.97,7712,7712,7712,POINT (-89.65344 32.713378)
MT,2021/03/13,51,51,51,1.78,1.78,1.78,2867,2867,2867,POINT (-109.645127 47.033521)
ND,2021/03/13,76,76,76,3.84,3.57,4.11,1978,1970,1986,POINT (-100.46931 47.446305)
NJ,2021/03/13,1872,1867,1877,9.23,9.23,9.23,20277,20277,20277,POINT (-74.655514 40.110253)
NV,2021/03/13,311,308,314,4.12,4.12,4.12,7560,7560,7560,POINT (-114.916992 39.283294)
