state,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,icu_beds_used_covid,icu_beds_used_covid_coverage
AK,44,29,10,16
AL,1840,110,417,72
AR,1544,84,326,84
AZ,2619,85,857,90
CA,8657,406,2233,405
CO,453,94,125,94
CT,171,31,31,31
DC,270,14,59,13
DE,159,11,18,9
FL,11020,267,926,83
GA,4265,135,1142,133
GU,4,1,2,1
HI,51,22,9,22
IA,324,131,69,85
ID,215,45,46,45
IL,1754,187,415,185
IN,793,124,394,123
KS,358,122,88,121
KY,638,107,69,47
LA,766,54,246,51
MA,352,84,3,23
MD,1080,51,214,51
ME,36,31,18,31
MI,719,135,195,132
MN,411,129,75,129
MO,827,129,269,129
MP,0,1,0,1
MS,1415,88,404,85
MT,90,38,19,38
NC,1525,126,327,94
ND,77,16,14,16
NE,167,97,41,57
NH,55,30,16,30
NJ,938,77,121,76
NM,489,37,78,37
NV,1281,62,163,20
NY,1628,162,286,159
OH,1652,179,444,178
OK,708,140,233,90
OR,254,59,58,58
PA,1315,192,311,192
PR,765,61,63,61
RI,69,12,10,12
SC,1565,81,427,82
SD,59,51,11,49
TN,1389,111,209,58
TX,10941,554,2748,370
UT,241,50,84,48
VA,1580,92,305,91
VI,8,2,3,1
VT,16,15,0,15
WA,504,90,138,87
WI,585,140,153,132
WV,158,51,52,51
WY,16,33,1,15
