state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AK,1351,22,789,22,51,24,60,13,7,21,45,9,0.378956372968349,20,443,1169,0.05576679340937896,22,44,789,0.02442635085122132,22,33,1351,0.09302325581395349,7,4,43,0.5333333333333333,9,24,45,2020-07-29
AL,12735,107,8589,97,2003,108,1210,91,505,89,1243,79,0.7511762576909157,95,8302,11052,0.21194743130227,93,1774,8370,0.14539035545213833,103,1812,12463,0.3384615384615385,71,418,1235,0.9018503620273531,79,1121,1243,2020-07-29
AR,7866,85,4488,79,1636,89,645,76,348,73,897,70,0.6628664495114006,77,4477,6754,0.14861853832442068,79,667,4488,0.20785659801678108,85,1635,7866,0.31843575418994413,65,285,895,0.7052752293577982,69,615,872,2020-07-29
AZ,9637,74,7801,68,2238,86,977,61,625,68,983,51,0.8619475948377004,60,6612,7671,0.23881553646968337,68,1863,7801,0.19560029054685069,74,1885,9637,0.43438453713123093,49,427,983,0.832146490335707,51,818,983,2020-07-29
CA,62349,382,44010,374,8060,406,5407,364,2068,365,7252,359,0.7087219847130457,372,43765,61752,0.17586912065439672,374,7740,44010,0.12345025581805642,382,7697,62349,0.28163377949496343,356,2041,7247,0.7417264202978489,359,5379,7252,2020-07-29
CO,9026,76,5247,69,408,93,553,65,117,76,952,59,0.6067376707571197,68,5241,8638,0.06746712407089765,69,354,5247,0.03944161311766009,76,356,9026,0.09478168264110756,54,89,939,0.5991189427312775,57,544,908,2020-07-29
CT,8133,30,5779,29,169,31,502,28,18,29,1038,27,0.7218336247814139,29,5779,8006,0.02924381380861741,29,169,5779,0.020779540145087913,30,169,8133,0.017341040462427744,27,18,1038,0.476878612716763,27,495,1038,2020-07-29
DC,2721,10,2034,11,188,11,248,11,18,10,404,11,0.7475192943770672,10,2034,2721,0.09242871189773845,11,188,2034,0.0687247335538405,10,187,2721,0.04455445544554455,10,18,404,0.6138613861386139,11,248,404,2020-07-29
DE,2451,11,541,7,148,12,38,6,12,7,47,5,0.8140794223826715,6,451,554,0.18114602587800369,7,98,541,0.03508771929824561,11,86,2451,0.0851063829787234,5,4,47,0.8085106382978723,5,38,47,2020-07-29
FL,74504,261,39276,248,9693,263,4732,247,2252,258,5794,246,0.5634198823698178,248,39276,69710,0.22089825847846012,248,8676,39276,0.12993933211639644,261,9681,74504,0.3537981269510926,243,2040,5766,0.8130824991370383,246,4711,5794,2020-07-29
GA,13861,111,7747,91,4194,140,1125,83,688,91,1168,73,0.7844250659095519,90,7736,9862,0.2639731508971215,91,2045,7747,0.21535242767477095,111,2985,13861,0.4585492227979275,67,531,1158,0.9083904109589042,73,1061,1168,2020-07-29
HI,1689,16,1188,22,82,22,52,12,16,14,98,12,0.6570841889117043,13,640,974,0.043041606886657105,14,30,697,0.03433984606275903,16,58,1689,0.05102040816326531,12,5,98,0.5306122448979592,12,52,98,2020-07-29
