state	inpatient_beds	inpatient_beds_coverage	inpatient_beds_used	inpatient_beds_used_coverage	inpatient_beds_used_covid	inpatient_beds_used_covid_coverage	staffed_adult_icu_bed_occupancy	staffed_adult_icu_bed_occupancy_coverage	staffed_icu_adult_patients_confirmed_and_suspected_covid	staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage	total_staffed_adult_icu_beds	total_staffed_adult_icu_beds_coverage	inpatient_beds_utilization	inpatient_beds_utilization_coverage	inpatient_beds_utilization_numerator	inpatient_beds_utilization_denominator	percent_of_inpatients_with_covid	percent_of_inpatients_with_covid_coverage	percent_of_inpatients_with_covid_numerator	percent_of_inpatients_with_covid_denominator	inpatient_bed_covid_utilization	inpatient_bed_covid_utilization_coverage	inpatient_bed_covid_utilization_numerator	inpatient_bed_covid_utilization_denominator	adult_icu_bed_covid_utilization	adult_icu_bed_covid_utilization_coverage	adult_icu_bed_covid_utilization_numerator	adult_icu_bed_covid_utilization_denominator	adult_icu_bed_utilization	adult_icu_bed_utilization_coverage	adult_icu_bed_utilization_numerator	adult_icu_bed_utilization_denominator	reporting_cutoff_start
AK	1331	20	714	23	35	24	59	14	9	21	45	9	0.355785838	19	412	1158	0.040616246	23	29	714	0.016528926	20	22	1331	0.046511628	7	2	43	0.466666667	9	21	45	7/30/2020
AL	11697	104	7202	91	2001	108	1073	87	475	87	1109	74	0.718241211	89	6926	9643	0.232994415	87	1627	6983	0.148271335	100	1694	11425	0.352727273	65	388	1100	0.880072137	74	976	1109	7/30/2020
AR	7819	85	4355	79	1551	88	645	76	335	72	901	70	0.628229182	78	4353	6929	0.138920781	79	605	4355	0.198362962	85	1551	7819	0.303670745	65	273	899	0.687014428	70	619	901	7/30/2020
AZ	9459	75	7373	68	2129	86	952	61	600	69	961	51	0.853218422	60	6336	7426	0.240607622	68	1774	7373	0.193149382	75	1827	9459	0.425598335	50	409	961	0.823100937	51	791	961	7/30/2020
CA	58708	368	43664	373	8007	405	5264	364	2008	365	6938	346	0.715527181	358	41580	58111	0.176232136	373	7695	43664	0.12601349	368	7398	58708	0.282561662	343	1959	6933	0.738829634	346	5126	6938	7/30/2020
CO	8990	74	5079	68	419	91	539	63	106	75	949	57	0.588508416	67	5070	8615	0.071667651	68	364	5079	0.040711902	74	366	8990	0.086538462	52	81	936	0.587845304	55	532	905	7/30/2020
CT	8133	30	5742	29	177	31	500	28	18	29	1045	28	0.717212091	29	5742	8006	0.030825496	29	177	5742	0.021763187	30	177	8133	0.01722488	28	18	1045	0.4784689	28	500	1045	7/30/2020
DC	2647	10	2105	11	151	11	223	11	18	10	380	11	0.795239894	10	2105	2647	0.071733967	11	151	2105	0.056667926	10	150	2647	0.047368421	10	18	380	0.586842105	11	223	380	7/30/2020
DE	2296	10	504	7	140	11	37	6	12	7	47	5	0.754098361	6	414	549	0.186507937	7	94	504	0.035278746	10	81	2296	0.106382979	5	5	47	0.787234043	5	37	47	7/30/2020
FL	74627	261	38612	248	9659	263	4664	247	2229	258	5843	247	0.552784538	248	38612	69850	0.22480058	248	8680	38612	0.129256167	261	9646	74627	0.351160791	244	2042	5815	0.798220092	247	4664	5843	7/30/2020
GA	13319	108	7169	89	4044	137	1080	81	688	88	1131	72	0.768025751	88	7158	9320	0.269075185	89	1929	7169	0.214805916	108	2861	13319	0.470115968	66	527	1121	0.899204244	72	1017	1131	7/30/2020
HI	1681	16	1206	22	90	22	64	12	19	14	102	12	0.68115942	13	658	966	0.051748252	14	37	715	0.040452112	16	68	1681	0.068627451	12	7	102	0.62745098	12	64	102	7/30/2020
IA	8455	122	3158	57	385	129	435	104	96	109	553	99	0.54404251	56	2662	4893	0.085180494	57	269	3158	0.039858072	122	337	8455	0.132969035	97	73	549	0.637522769	97	350	549	7/30/2020
ID	3999	44	1289	31	222	46	177	31	42	40	274	34	0.476701183	31	1289	2704	0.118696664	31	153	1289	0.055513878	44	222	3999	0.142335766	33	39	274	0.606617647	25	165	272	7/30/2020
IL	27033	167	14141	135	1558	183	1570	122	380	138	2820	104	0.606805293	134	14124	23276	0.087405417	135	1236	14141	0.054488958	167	1473	27033	0.111865618	100	313	2798	0.498569385	101	1394	2796	7/30/2020
IN	15296	125	8680	120	884	128	1282	118	299	116	2178	120	0.577626938	120	8680	15027	0.094354839	120	819	8680	0.054916318	125	840	15296	0.140309714	116	299	2131	0.611933174	118	1282	2095	7/30/2020
KS	6814	113	3462	92	367	121	435	67	76	77	606	60	0.571602575	90	3285	5747	0.07739486	91	265	3424	0.041765053	112	283	6776	0.095637584	56	57	596	0.728813559	58	430	590	7/30/2020
KY	10450	92	6884	94	732	107	909	88	527	89	1156	83	0.647384257	89	6670	10303	0.093114468	94	641	6884	0.061913876	92	647	10450	0.431578947	82	492	1140	0.714532872	81	826	1156	7/30/2020
LA	13910	222	8643	219	530	39	1360	215	473	214	1759	210	0.630277839	219	8643	13713	0.172910663	34	480	2776	0.111314705	37	486	4366	0.245594088	209	432	1759	0.738487777	210	1299	1759	7/30/2020
MA	17190	80	11529	78	336	80	863	74	63	73	1867	74	0.674841957	78	11529	17084	0.029143898	78	336	11529	0.019546248	80	336	17190	0.033743974	73	63	1867	0.462238886	74	863	1867	7/30/2020
MD	9656	51	6472	46	1117	51	704	44	207	48	1034	42	0.756574271	45	6387	8442	0.156740787	44	1008	6431	0.113390254	49	1089	9604	0.174081238	42	180	1034	0.670212766	42	693	1034	7/30/2020
ME	2687	29	1654	30	33	29	166	29	13	27	321	29	0.614439896	29	1651	2687	0.020741672	29	33	1591	0.012600229	28	33	2619	0.040880503	27	13	318	0.517133956	29	166	321	7/30/2020
MI	17083	128	9192	102	649	140	1090	101	141	123	1594	97	0.705831703	100	9017	12775	0.039202875	101	360	9183	0.02835716	127	484	17068	0.069636136	95	111	1594	0.681932246	95	1087	1594	7/30/2020
MN	11302	122	6151	114	474	127	552	108	75	106	828	96	0.627044154	112	6135	9784	0.059339945	114	365	6151	0.04193948	122	474	11302	0.096277279	95	75	779	0.653381643	96	541	828	7/30/2020
