state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,6,68,8887,66,5360,68,587,68,472,67,75,65,679,66,0.5819736694047485,66,5172,8887,0.10951492537313433,68,587,5360,0.06526386857207156,66,580,8887,0.10977443609022557,64,73,665,0.6907216494845361,66,469,679,2020-09-01
RI,1,14,1899,14,2083,14,72,14,116,14,7,14,141,14,1.0968931016324381,14,2083,1899,0.03456553048487758,14,72,2083,0.037914691943127965,14,72,1899,0.04964539007092199,14,7,141,0.8226950354609929,14,116,141,2020-09-01
SC,14,74,10181,81,7875,81,805,81,949,76,210,77,1321,75,0.773499656222375,81,7875,10181,0.10222222222222223,81,805,7875,0.07906885374717611,81,805,10181,0.15745647236941712,75,208,1321,0.7168811506434519,75,947,1321,2020-09-01
SD,1,53,2293,53,1364,55,98,56,79,40,18,36,93,31,0.5878761447884867,53,1348,2293,0.0718475073313783,55,98,1364,0.04273877017008286,53,98,2293,0.14942528735632185,27,13,87,0.5783132530120482,30,48,83,2020-09-01
TN,7,87,19127,124,12791,121,683,92,1584,112,199,87,2232,117,0.6886508021966189,121,12791,18574,0.07852059269630147,91,673,8571,0.05264392991239049,91,673,12784,0.1306179775280899,84,186,1424,0.7353760445682451,112,1584,2154,2020-09-01
TX,89,538,65856,551,45888,555,5125,558,5200,508,1642,521,6650,494,0.6965257557510252,549,45690,65597,0.11132211381049047,554,5100,45813,0.0777723705821522,550,5114,65756,0.2283381218811432,487,1510,6613,0.7786144578313253,493,5170,6640,2020-09-01
UT,3,53,5102,52,2884,53,169,53,318,46,46,44,520,41,0.5523324186593492,52,2818,5102,0.058599167822468795,53,169,2884,0.032928263426107406,52,168,5102,0.08653846153846154,40,45,520,0.5865384615384616,40,305,520,2020-09-01
VA,13,87,16501,88,10448,89,1136,96,792,79,180,80,1256,76,0.6299012181079935,88,10394,16501,0.10537986887774778,88,1093,10372,0.0639985357818315,87,1049,16391,0.1321656050955414,76,166,1256,0.6226114649681529,76,782,1256,2020-09-01
VI,0,2,188,2,105,2,7,2,12,2,2,2,20,2,0.5585106382978723,2,105,188,0.06666666666666667,2,7,105,0.03723404255319149,2,7,188,0.1,2,2,20,0.6,2,12,20,2020-09-01
VT,0,16,662,15,340,15,3,17,35,13,1,15,58,13,0.513595166163142,15,340,662,0.0058823529411764705,15,2,340,0.0030211480362537764,15,2,662,0.0,13,0,58,0.603448275862069,13,35,58,2020-09-01
