state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,0,68,9544,69,5427,69,333,68,474,69,56,67,43,68,293,67,151,68,40,67,14,67,675,69,0.5686295054484493,69,5427,9544,0.06283018867924528,68,333,5300,0.035576923076923075,68,333,9360,0.08695652173913043,67,56,644,0.7022222222222222,69,474,675,2020-10-15
RI,6,14,2202,15,1891,14,132,14,135,15,17,14,17,15,130,14,123,15,2,14,2,14,171,15,0.8587647593097184,14,1891,2202,0.07123583378305451,13,132,1853,0.06235238545111006,14,132,2117,0.10897435897435898,14,17,156,0.7894736842105263,15,135,171,2020-10-15
SC,2,77,9919,83,7747,83,699,81,942,82,183,79,171,81,697,79,597,81,2,79,0,79,1338,81,0.7810263131364049,83,7747,9919,0.09150412357638435,81,699,7639,0.07164821648216482,81,699,9756,0.14009287925696595,78,181,1292,0.7010463378176383,81,938,1338,2020-10-15
SD,1,59,2216,61,1546,64,304,61,146,60,59,55,64,57,296,58,294,60,3,58,2,57,203,61,0.5839350180505415,61,1294,2216,0.2037533512064343,61,304,1492,0.11147695202257761,58,237,2126,0.31216931216931215,55,59,189,0.7192118226600985,60,146,203,2020-10-15
TN,16,116,18035,123,12370,122,1335,119,1643,125,369,113,353,113,1325,116,1171,115,10,116,2,115,2037,128,0.7074985689753863,119,12360,17470,0.10332690857286517,110,1233,11933,0.07469631957454523,108,1236,16547,0.19030428055698814,113,369,1939,0.8297979797979798,125,1643,1980,2020-10-15
TX,105,567,69524,583,49587,587,5078,583,5489,561,1413,557,1304,562,5007,571,4310,572,71,571,48,567,7314,551,0.7151225705917151,582,49563,69307,0.1030784345832651,581,5036,48856,0.07397739701057236,577,5073,68575,0.1971771347918137,541,1397,7085,0.7476725082146769,549,5461,7304,2020-10-15
UT,2,56,5507,56,2949,58,304,57,363,46,95,47,95,48,293,54,289,54,11,54,11,53,552,46,0.5242418739785727,56,2887,5507,0.10500863557858377,57,304,2895,0.0560488346281909,55,303,5406,0.1704119850187266,44,91,534,0.6327272727272727,44,348,550,2020-10-15
VA,18,101,17948,101,11453,101,989,102,1306,101,223,99,176,102,979,100,630,101,10,100,7,98,1920,101,0.6381212391352797,101,11453,17948,0.08675920982381206,97,975,11238,0.05546706109910115,97,975,17578,0.1202804746494067,98,223,1854,0.6802083333333333,101,1306,1920,2020-10-15
VI,0,2,188,2,85,2,4,2,11,2,1,2,1,2,4,2,4,2,0,2,0,2,20,2,0.4521276595744681,2,85,188,0.047058823529411764,2,4,85,0.02127659574468085,2,4,188,0.05,2,1,20,0.55,2,11,20,2020-10-15
VT,0,16,1301,17,869,17,2,16,69,17,1,16,0,17,2,16,0,17,0,16,0,16,110,17,0.6679477325134512,17,869,1301,0.0023894862604540022,16,2,837,0.0015936254980079682,16,2,1255,0.00980392156862745,16,1,102,0.6272727272727273,17,69,110,2020-10-15
WA,11,92,10954,88,8418,96,394,95,872,83,84,85,75,85,387,91,280,91,7,91,3,89,1075,72,0.6135658207047654,88,6721,10954,0.04737854737854738,94,394,8316,0.027980422938406132,86,303,10829,0.058150619637750235,68,61,1049,0.6437209302325582,69,692,1075,2020-10-15
WI,12,140,13108,143,7913,141,1371,140,989,138,312,137,313,140,1357,140,1184,141,14,140,7,138,1621,136,0.6157018362900716,141,7913,12852,0.1752092050209205,138,1340,7648,0.10758847994977634,140,1371,12743,0.20233463035019456,132,312,1542,0.6224040276903713,134,989,1589,2020-10-15
WV,2,58,6439,62,4311,62,255,58,479,62,76,58,68,62,254,58,211,62,1,58,0,58,642,62,0.6695138996738624,62,4311,6439,0.06048387096774194,58,255,4216,0.04087848669445335,58,255,6238,0.12859560067681894,58,76,591,0.7461059190031153,62,479,642,2020-10-15
AK,0,23,1494,23,876,23,65,23,93,20,21,20,15,20,64,22,40,22,1,22,1,22,136,19,0.5863453815261044,23,876,1494,0.07420091324200913,23,65,876,0.04350736278447122,23,65,1494,0.15441176470588236,19,21,136,0.6838235294117647,19,93,136,2020-10-15
AL,21,112,15314,114,10660,114,1012,112,1214,114,299,112,277,114,984,112,843,114,28,112,22,112,1538,114,0.6960950764006791,114,10660,15314,0.09577999051683263,110,1010,10545,0.0667989417989418,110,1010,15120,0.19933333333333333,110,299,1500,0.7893368010403121,114,1214,1538,2020-10-15
AR,5,96,8634,96,5673,97,626,96,759,93,195,88,202,89,614,95,553,97,12,95,6,95,1007,87,0.6539888682745826,95,5640,8624,0.11183261183261184,95,620,5544,0.0736567429723639,94,621,8431,0.19395203336809178,81,186,959,0.730883813306852,85,736,1007,2020-10-15
AZ,14,93,14419,102,9963,105,925,102,1031,95,181,91,163,92,805,98,502,100,120,98,118,97,1876,96,0.6786878424301269,102,9786,14419,0.09476488064747464,102,925,9761,0.055150958071130594,99,780,14143,0.10077951002227171,88,181,1796,0.5495735607675906,95,1031,1876,2020-10-15
CA,13,372,63499,397,43835,397,3153,388,4967,391,764,380,670,387,3118,386,2270,392,35,386,22,384,7372,389,0.6903258319028646,397,43835,63499,0.07317412796769478,388,3153,43089,0.05058559281244986,388,3153,62330,0.10787913018921208,378,764,7082,0.6737655995659251,389,4967,7372,2020-10-15
CO,1,92,10782,95,6862,96,491,94,753,85,149,83,127,85,465,90,348,89,17,90,12,87,1205,82,0.6351326284548321,95,6848,10782,0.0724616292798111,94,491,6776,0.04570195195195195,93,487,10656,0.1225531914893617,77,144,1175,0.6232365145228216,81,751,1205,2020-10-15
CT,4,31,8263,32,6150,32,353,32,560,31,58,30,38,31,343,30,190,31,10,30,1,30,1068,31,0.7442817378676025,32,6150,8263,0.0579733946460831,31,353,6089,0.04318571079031074,31,353,8174,0.055449330783938815,30,58,1046,0.5243445692883895,31,560,1068,2020-10-15
DC,7,13,3581,14,2753,14,145,13,241,14,20,13,21,14,132,13,102,14,13,13,2,13,383,14,0.7687796704831052,14,2753,3581,0.05424616535727647,13,145,2673,0.04201680672268908,13,145,3451,0.055248618784530384,13,20,362,0.6292428198433421,14,241,383,2020-10-15
DE,1,14,3008,15,2312,15,181,14,144,12,27,12,25,13,177,14,137,15,4,14,1,14,180,12,0.7686170212765957,15,2312,3008,0.07886710239651416,14,181,2295,0.06081989247311828,14,181,2976,0.15517241379310345,11,27,174,0.8,12,144,180,2020-10-15
FL,70,257,81115,262,42589,262,2339,257,4479,262,614,257,543,263,2312,257,2195,263,27,257,20,257,6171,262,0.5250446896381681,262,42589,81115,0.055823389021479715,256,2339,41900,0.02919954059722361,256,2339,80104,0.10322797579018157,256,614,5948,0.7258142926592125,262,4479,6171,2020-10-15
GA,13,156,19404,160,14500,159,1668,158,1979,153,416,151,360,154,1596,151,1292,154,72,151,15,151,2422,152,0.7514121366015443,159,14500,19297,0.11660258650821391,156,1668,14305,0.08729328030144443,157,1668,19108,0.17444821731748728,147,411,2356,0.8113129644921553,152,1965,2422,2020-10-15
