state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AK,1,23,0,1,23,0,0,24,1683,24,966,24,33,24,5,24,0,24,0,24,1,24,82,24,7,24,7,24,31,24,27,24,2,24,1,24,130,24,0.5739750445632799,24,966,1683,0.034161490683229816,24,33,966,0.0196078431372549,24,33,1683,0.05384615384615385,24,7,130,0.6307692307692307,24,82,130,2021-02-28
AL,26,79,12,32,72,13,10,113,15481,117,11604,117,683,113,75,115,82,113,2,113,6,113,1346,117,214,113,199,115,667,113,570,115,16,113,14,113,1638,117,0.7495639816549319,117,11604,15481,0.059442993907745864,113,683,11490,0.04475460323700937,113,683,15261,0.1341692789968652,113,214,1595,0.8217338217338217,117,1346,1638,2021-02-28
AR,15,91,2,18,88,2,6,106,9270,108,6650,108,514,106,45,108,77,106,0,106,12,106,752,108,150,106,141,108,504,106,389,108,10,106,3,106,1044,108,0.7173678532901834,108,6650,9270,0.0774913312226745,106,514,6633,0.05569400801820349,106,514,9229,0.1460564751703992,106,150,1027,0.7203065134099617,108,752,1044,2021-02-28
AZ,25,97,3,27,95,3,19,122,17350,125,12214,125,1087,122,109,125,174,122,2,122,7,122,1302,125,260,122,194,125,1066,122,779,125,21,122,13,122,2264,125,0.7039769452449568,125,12214,17350,0.0904777759280839,122,1087,12014,0.06388480752277402,122,1087,17015,0.11888431641518062,122,260,2187,0.5750883392226148,125,1302,2264,2021-02-28
CA,93,306,13,115,285,12,34,404,64057,412,48191,412,4944,403,504,412,468,404,14,403,11,403,5666,411,1279,403,1249,411,4867,403,4392,411,77,403,69,403,7601,411,0.7523143450364519,412,48191,64057,0.10381538332318417,403,4944,47623,0.07827739075364154,403,4944,63160,0.17389530931339225,403,1279,7355,0.7454282331272201,411,5666,7601,2021-02-28
CO,7,84,13,7,84,13,10,102,11833,104,8037,104,428,102,62,104,70,102,1,102,12,102,853,104,129,102,129,104,416,102,360,104,12,102,2,102,1303,104,0.679202231048762,104,8037,11833,0.0538703587161737,102,428,7945,0.03650319829424307,102,428,11725,0.1015748031496063,102,129,1270,0.6546431312356101,104,853,1303,2021-02-28
CT,4,33,1,4,33,1,18,37,8145,38,6453,38,524,37,74,38,40,37,0,37,5,37,630,38,107,37,104,38,517,37,437,38,7,37,3,37,1070,38,0.7922651933701658,38,6453,8145,0.08202880400751408,37,524,6388,0.06506891841549733,37,524,8053,0.10200190657769304,37,107,1049,0.5887850467289719,38,630,1070,2021-02-28
DC,0,12,2,0,12,2,9,12,3463,14,2697,14,237,13,8,14,93,13,0,13,13,13,284,14,47,12,42,13,213,13,178,14,24,13,8,13,342,14,0.7788045047646549,14,2697,3463,0.09056171188383645,13,237,2617,0.07100059916117435,13,237,3338,0.14596273291925466,12,47,322,0.8304093567251462,14,284,342,2021-02-28
DE,1,14,1,1,14,1,2,15,3326,16,2369,16,149,15,13,16,33,15,2,15,1,15,164,16,14,15,14,16,143,15,135,16,6,15,5,15,198,16,0.7122669873722188,16,2369,3326,0.06326963906581741,15,149,2355,0.04523375834851245,15,149,3294,0.07368421052631578,15,14,190,0.8282828282828283,16,164,198,2021-02-28
FL,12,240,15,33,219,15,89,261,58811,267,46324,267,4008,261,568,267,214,261,12,261,2,261,5157,267,893,261,868,267,3972,261,3632,267,36,261,27,261,6437,267,0.7876757749400622,267,46324,58811,0.0878119317310431,261,4008,45643,0.06930538984281787,261,4008,57831,0.14347686375321336,261,893,6224,0.8011496038527264,267,5157,6437,2021-02-28
