state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PR,0,0,68,0,0,68,2,67,9282,68,5620,68,543,67,54,68,44,67,2,67,16,67,462,68,89,67,58,68,488,67,435,68,55,67,26,67,694,68,0.605472958414135,68,5620,9282,0.098262757871878,67,543,5526,0.059657218193804,67,543,9102,0.134238310708899,67,89,663,0.665706051873199,68,462,694,2021/04/15,POINT (-66.414655 18.215692)
RI,4,8,2,4,8,2,7,13,2522,14,2286,14,193,13,11,14,0,13,0,13,0,13,136,14,28,13,29,14,191,13,154,14,2,13,2,13,165,14,0.906423473433783,14,2286,2522,0.086007130124777,13,193,2244,0.079001227998363,13,193,2443,0.191780821917808,13,28,146,0.824242424242424,14,136,165,2021/04/15,POINT (-71.534637 41.572574)
SC,19,48,2,19,48,2,3,67,10045,69,7466,69,524,67,74,69,36,67,0,67,3,67,917,69,150,67,140,69,519,67,497,69,5,67,4,67,1338,69,0.743255350920856,69,7466,10045,0.071118349619978,67,524,7368,0.053041805850795,67,524,9879,0.115651503469545,67,150,1297,0.685351270553064,69,917,1338,2021/04/15,POINT (-80.864614 33.878572)
SD,2,58,3,2,58,3,29,60,2571,63,1423,63,120,60,14,63,8,60,0,60,1,60,131,63,24,60,23,63,118,60,89,63,2,60,0,60,238,63,0.553481135744846,63,1423,2571,0.085898353614889,60,120,1397,0.047923322683706,60,120,2504,0.105726872246696,60,24,227,0.550420168067227,63,131,238,2021/04/15,POINT (-100.230491 44.43614)
TN,13,88,40,31,70,40,17,101,20283,141,12883,127,861,101,86,101,58,101,2,101,2,101,1665,138,249,101,233,101,855,101,769,101,6,101,5,101,2385,141,0.672425491935905,127,12883,19159,0.077295987072448,101,861,11139,0.052055622732769,101,861,16540,0.116736990154712,101,249,2133,0.71520618556701,138,1665,2328,2021/04/15,POINT (-86.343226 35.842998)
TX,94,483,13,113,464,13,68,585,67366,590,46358,590,3382,585,334,590,354,585,9,585,38,585,5340,590,942,585,892,590,3328,585,2883,590,54,585,37,585,7090,590,0.68815129293709,590,46358,67366,0.07379284763588,585,3382,45831,0.050771632738846,585,3382,66612,0.136265007956025,585,942,6913,0.753173483779972,590,5340,7090,2021/04/15,POINT (-99.317341 31.447238)
UT,1,50,1,1,50,1,0,51,5465,52,2884,52,148,51,18,52,5,51,2,51,0,51,320,52,62,51,59,52,141,51,131,52,7,51,0,51,653,52,0.52772186642269,52,2884,5465,0.05205768554344,51,148,2843,0.027453162678538,51,148,5391,0.097637795275591,51,62,635,0.490045941807044,52,320,653,2021/04/15,POINT (-111.678222 39.323779)
VA,14,71,9,22,63,9,22,91,17033,94,12077,94,1085,91,116,94,168,91,2,91,8,91,1344,94,237,91,229,94,1074,91,899,94,11,91,5,91,1966,94,0.709035401866964,94,12077,17033,0.090832984512348,91,1085,11945,0.064737470167064,91,1085,16760,0.125065963060686,91,237,1895,0.683621566632757,94,1344,1966,2021/04/15,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,76,2,3,2,1,2,0,2,0,2,0,2,9,2,3,2,3,2,3,2,3,2,0,2,0,2,20,2,0.452380952380952,2,76,168,0.039473684210526,2,3,76,0.017857142857143,2,3,168,0.15,2,3,20,0.45,2,9,20,2021/04/15,POINT (-64.840836 18.060868)
VT,1,15,1,1,15,1,0,16,1298,17,791,17,29,16,8,17,8,16,0,16,0,16,52,17,6,16,5,17,29,16,28,17,0,16,0,16,102,17,0.60939907550077,17,791,1298,0.037564766839378,16,29,772,0.022997620935765,16,29,1261,0.063157894736842,16,6,95,0.509803921568627,17,52,102,2021/04/15,POINT (-72.662695 44.075252)
WA,4,86,2,5,85,2,17,90,12190,92,8524,92,733,90,67,92,155,90,1,90,13,90,900,92,166,90,134,92,710,90,506,92,23,90,4,90,1287,92,0.699261689909762,92,8524,12190,0.08700296735905,90,733,8425,0.060769358315371,90,733,12062,0.131641554321967,90,166,1261,0.699300699300699,92,900,1287,2021/04/15,POINT (-120.592492 47.411715)
WI,9,111,22,13,107,22,0,139,12760,142,7891,142,409,139,76,142,50,139,5,139,8,139,835,142,103,139,106,142,399,139,376,142,10,139,4,139,1599,142,0.618416927899686,142,7891,12760,0.052979274611399,139,409,7720,0.032717382609391,139,409,12501,0.066580478345184,139,103,1547,0.522201375859912,142,835,1599,2021/04/15,POINT (-89.732969 44.639954)
WV,12,43,4,14,41,4,1,55,5816,59,4336,59,290,55,36,59,48,55,2,55,0,55,479,59,85,55,84,59,287,55,257,59,3,55,3,55,662,59,0.745529573590096,59,4336,5816,0.06799531066823,55,290,4265,0.051564722617354,55,290,5624,0.137318255250404,55,85,619,0.72356495468278,59,479,662,2021/04/15,POINT (-80.613729 38.642579)
AK,1,21,0,1,21,0,0,22,1465,22,795,22,37,22,8,22,2,22,0,22,0,22,80,22,11,22,11,22,37,22,33,22,0,22,0,22,135,22,0.542662116040956,22,795,1465,0.046540880503145,22,37,795,0.025255972696246,22,37,1465,0.081481481481481,22,11,135,0.592592592592593,22,80,135,2021/04/15,POINT (-151.631889 63.631126)
AL,26,66,15,28,63,16,4,102,14937,107,10444,107,447,102,63,104,76,102,1,102,9,102,1253,107,120,102,113,104,429,102,359,104,18,102,5,102,1624,107,0.699203320613242,107,10444,14937,0.044305679452869,102,447,10089,0.030927835051546,102,447,14453,0.075566750629723,102,120,1588,0.771551724137931,107,1253,1624,2021/04/15,POINT (-86.844516 32.756889)
AR,12,74,2,15,71,2,1,86,7540,88,4922,88,206,86,26,88,43,86,1,86,13,86,949,88,50,86,38,88,200,86,140,88,6,86,2,86,967,88,0.652785145888594,88,4922,7540,0.041946650376705,86,206,4911,0.02747032937725,86,206,7499,0.052631578947368,86,50,950,0.981385729058945,88,949,967,2021/04/15,POINT (-92.439162 34.899825)
AZ,25,73,3,28,70,3,9,98,15059,101,9649,101,553,98,46,101,92,98,2,98,7,98,1027,101,123,98,107,101,534,98,361,101,19,98,6,98,2183,101,0.640746397503154,101,9649,15059,0.058450480921678,98,553,9461,0.037509326460015,98,553,14743,0.058404558404558,98,123,2106,0.470453504351809,101,1027,2183,2021/04/15,POINT (-111.664616 34.293239)
CA,68,272,34,84,256,34,30,366,59869,374,43039,374,2123,366,212,374,301,366,8,366,12,366,4684,374,448,366,414,374,2068,366,1768,374,55,366,38,366,6956,374,0.718886234946299,374,43039,59869,0.049942365146204,366,2123,42509,0.035969029022584,366,2123,59023,0.066086443428234,366,448,6779,0.673375503162737,374,4684,6956,2021/04/15,POINT (-119.662127 37.211164)
CO,5,77,13,5,77,13,3,93,11110,95,7196,95,578,93,58,95,46,93,3,93,7,93,830,95,176,93,179,95,553,93,495,95,25,93,14,93,1306,95,0.647704770477048,95,7196,11110,0.081111422958181,93,578,7126,0.052531127874216,93,578,11003,0.138256087981147,93,176,1273,0.635528330781011,95,830,1306,2021/04/15,POINT (-105.547832 38.998552)
CT,4,28,1,4,28,1,14,32,7895,33,6066,33,588,32,79,33,43,32,1,32,0,32,575,33,119,32,107,33,584,32,502,33,4,32,4,32,1058,33,0.768334388853705,33,6066,7895,0.097593360995851,32,588,6025,0.075317023184322,32,588,7807,0.114864864864865,32,119,1036,0.543478260869565,33,575,1058,2021/04/15,POINT (-72.738288 41.575155)
DC,0,12,2,0,12,2,1,12,3457,14,2528,14,192,13,15,14,72,13,0,13,11,13,227,14,46,12,43,13,164,13,136,14,28,13,10,13,343,14,0.731269887185421,14,2528,3457,0.077701335491704,13,192,2471,0.057553956834532,13,192,3336,0.142414860681115,12,46,323,0.661807580174927,14,227,343,2021/04/15,POINT (-77.016275 38.904785)
DE,1,7,2,1,7,2,3,9,2649,10,1956,10,199,9,22,10,47,9,0,9,0,9,156,10,22,9,22,10,196,9,155,10,3,9,2,9,194,10,0.738391845979615,10,1956,2649,0.102842377260982,9,199,1935,0.0760412686282,9,199,2617,0.118279569892473,9,22,186,0.804123711340206,10,156,194,2021/04/15,POINT (-75.452394 38.994926)
FL,8,198,15,23,183,15,63,215,53137,221,41257,221,3838,215,473,221,174,215,9,215,12,215,4873,221,811,215,783,221,3780,215,3459,221,58,215,49,215,6448,221,0.776426971789902,221,41257,53137,0.094459895153946,215,3838,40631,0.073571414879138,215,3838,52167,0.13015567324667,215,811,6231,0.755738213399504,221,4873,6448,2021/04/15,POINT (-82.420978 28.260731)
GA,26,115,14,30,110,15,6,152,20774,155,16051,155,1510,152,205,155,120,152,10,152,27,152,2170,155,372,152,317,155,1470,152,1145,155,40,152,13,152,2815,155,0.772648502936363,155,16051,20774,0.095088161209068,152,1510,15880,0.073719669970219,152,1510,20483,0.134490238611714,152,372,2766,0.770870337477798,155,2170,2815,2021/04/15,POINT (-83.426574 32.638481)
