state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage
PA,25,172,6,31,166,6,18,197,29174,203,24352,203,966,197,78,203,315,197,4,195,27,195,2800,203,199,197,176,203,930,197,662,203,36,197,17,197,3599,203,0.834715842873792,203,24352,29174,0.040009940357853,197,966,24144,0.033549821137082,197,966,28793,0.056971085027197,197,199,3493,0.777993887190886,203,2800,3599,2021/06/04,,0,200,2,199,5,201,7,199,12,199,19,199,9,199,14,200,10,188,0,193,23,194,32,193,33,194,36,193,64,194,57,194,67,193,3,181
PR,0,9,57,0,9,57,3,65,9226,66,5385,66,114,65,4,66,12,65,0,65,7,65,437,66,16,65,13,66,90,65,63,66,24,65,3,65,661,66,0.583676566225883,66,5385,9226,0.021615472127418,65,114,5274,0.012596685082873,65,114,9050,0.025396825396825,65,16,630,0.661119515885023,66,437,661,2021/06/04,,0,66,1,66,0,66,0,66,0,66,0,66,2,66,0,66,1,66,0,65,1,65,1,65,0,65,1,65,2,65,6,65,1,65,0,65
RI,5,8,1,5,8,1,5,13,2547,14,2344,14,94,13,2,14,0,13,0,13,0,13,128,14,7,13,6,14,94,13,51,14,0,13,0,13,167,14,0.920298390263055,14,2344,2547,0.040834057341442,13,94,2302,0.037903225806452,13,94,2480,0.046979865771812,13,7,149,0.766467065868264,14,128,167,2021/06/04,,0,14,0,14,1,14,0,14,0,14,1,14,0,14,0,14,0,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
SC,16,49,2,16,49,2,2,65,9060,67,7020,67,159,65,22,67,28,65,0,65,1,65,763,67,50,65,48,67,157,65,141,67,2,65,1,65,1142,67,0.774834437086093,67,7020,9060,0.022983521248916,65,159,6918,0.01787119253681,65,159,8897,0.045372050816697,65,50,1102,0.668126094570928,67,763,1142,2021/06/04,,0,67,3,67,4,67,2,67,3,67,7,67,3,67,0,67,0,62,1,65,0,65,5,65,3,65,4,65,4,65,8,65,0,65,3,60
SD,1,59,3,1,59,3,2,60,2585,63,1516,63,35,60,4,63,6,60,0,60,1,60,125,63,6,60,4,63,33,60,19,63,2,60,0,60,238,63,0.586460348162476,63,1516,2585,0.023521505376344,60,35,1488,0.013899920571882,60,35,2518,0.026431718061674,60,6,227,0.525210084033614,63,125,238,2021/06/04,,0,63,1,63,1,63,0,63,1,63,1,63,0,63,0,63,0,63,0,60,0,60,1,60,1,60,2,60,2,60,0,60,0,60,0,60
TN,8,93,41,28,73,41,3,101,20386,142,13519,129,413,101,41,101,30,101,1,101,0,101,1708,139,140,101,129,101,408,101,340,101,5,101,5,101,2388,142,0.697322948367463,129,13519,19387,0.033585427340002,101,413,12297,0.023556924480949,101,413,17532,0.062222222222222,101,140,2250,0.725881852953676,139,1708,2353,2021/06/04,,0,101,4,101,3,101,5,101,10,101,10,101,5,101,3,101,1,101,0,101,1,101,1,101,5,101,4,101,7,101,4,101,3,101,5,101
TX,83,494,13,115,462,13,58,585,67118,590,47308,590,2047,585,180,590,410,585,4,585,50,585,5120,590,546,585,502,590,1998,585,1515,590,49,585,27,585,6826,590,0.70484817783605,590,47308,67118,0.043798275456277,585,2047,46737,0.030847825431749,585,2047,66358,0.082043576258452,585,546,6655,0.750073249340756,590,5120,6826,2021/06/04,,1,590,13,590,13,590,31,590,36,590,39,590,17,590,20,590,10,590,2,584,30,583,39,584,49,583,64,584,71,584,79,584,59,584,17,585
UT,1,52,1,4,49,1,0,53,5522,54,3253,54,155,53,37,54,3,53,0,53,0,53,389,54,48,53,51,54,150,53,147,54,5,53,1,53,632,54,0.589098152843173,54,3253,5522,0.048361934477379,53,155,3205,0.0284874104025,53,155,5441,0.078175895765472,53,48,614,0.615506329113924,54,389,632,2021/06/04,,2,54,3,54,6,54,8,54,8,54,2,54,2,54,5,54,1,54,0,53,0,53,0,53,0,53,1,53,0,53,1,53,1,53,0,53
VA,15,69,9,22,62,9,20,90,16840,93,12018,93,406,90,30,93,165,90,0,90,17,90,1308,93,89,90,79,93,397,90,266,93,9,90,4,90,1910,93,0.713657957244656,93,12018,16840,0.034226943179902,90,406,11862,0.024475524475524,90,406,16588,0.047823750671682,90,89,1861,0.684816753926702,93,1308,1910,2021/06/04,,1,93,1,93,7,93,2,93,7,93,6,93,3,93,2,93,1,93,1,90,11,90,13,90,18,90,33,90,36,90,33,90,19,90,1,90
VI,2,0,0,2,0,0,0,2,168,2,100,2,8,2,1,2,0,2,0,2,0,2,6,2,3,2,3,2,8,2,8,2,0,2,0,2,20,2,0.595238095238095,2,100,168,0.08,2,8,100,0.047619047619048,2,8,168,0.15,2,3,20,0.3,2,6,20,2021/06/04,,0,2,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
