state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
PA,26,193,6,31,188,6,15,219,30045,225,23412,225,987,219,111,225,329,219,2,213,28,212,2588,225,208,219,192,225,961,219,749,225,26,218,17,218,3602,225,0.779231153270095,225,23412,30045,0.042600025896672,219,987,23169,0.033264804017391,219,987,29671,0.059479553903346,219,208,3497,0.718489727928928,225,2588,3602,2021/08/04,,1,221,10,220,14,221,19,221,18,220,19,221,16,221,9,221,5,207,3,214,22,214,42,214,37,214,46,213,55,213,63,214,58,214,4,200,3,219
PR,0,6,59,0,6,59,4,64,9231,65,5613,65,312,64,25,65,23,64,4,64,6,64,475,65,65,64,50,65,276,64,248,65,36,64,15,64,650,65,0.608059798505037,65,5613,9231,0.056809905316824,64,312,5492,0.034494195688226,64,312,9045,0.105008077544426,64,65,619,0.730769230769231,65,475,650,2021/08/04,,0,65,4,65,4,65,2,65,7,65,5,65,2,65,1,65,0,65,0,64,1,64,3,64,4,64,2,64,4,64,5,64,4,64,0,64,3,64
RI,4,8,2,4,8,2,0,13,2178,14,1964,14,66,13,6,14,6,13,0,13,2,13,123,14,13,13,11,14,60,13,49,14,6,13,1,13,157,14,0.901744719926538,14,1964,2178,0.03448275862069,13,66,1914,0.031205673758865,13,66,2115,0.090909090909091,13,13,143,0.78343949044586,14,123,157,2021/08/04,,0,13,0,13,1,13,1,13,1,13,0,13,1,13,2,14,0,13,0,12,1,12,1,12,0,12,0,12,1,12,1,12,2,12,0,11,2,13
SC,20,63,5,20,63,5,2,86,11440,88,8924,88,1124,86,187,88,49,86,6,86,3,86,979,88,309,86,307,88,1110,86,1080,88,14,86,12,86,1257,88,0.78006993006993,88,8924,11440,0.127423194649133,86,1124,8821,0.099698421146,86,1124,11274,0.254111842105263,86,309,1216,0.778838504375497,88,979,1257,2021/08/04,,0,88,6,88,25,88,34,88,33,88,39,88,30,88,19,88,1,83,0,86,4,86,3,86,5,86,6,86,6,86,12,86,9,86,4,81,10,86
SD,0,60,3,0,60,3,9,60,2804,63,1606,63,60,60,7,63,10,60,0,60,1,60,129,63,12,60,14,63,58,60,45,63,2,60,0,60,239,63,0.572753209700428,63,1606,2804,0.037854889589905,60,60,1585,0.021921812203142,60,60,2737,0.052631578947368,60,12,228,0.539748953974895,63,129,239,2021/08/04,,0,63,0,63,1,63,0,63,2,63,2,63,2,63,0,63,0,63,0,60,0,60,1,60,2,60,2,60,1,60,2,60,2,60,0,60,0,60
TN,5,54,85,6,53,85,2,60,20266,144,12715,129,1034,60,131,60,68,60,6,60,1,60,1710,141,301,60,289,60,1020,60,936,60,14,60,13,60,2493,144,0.666509409236253,129,12715,19077,0.159322033898305,60,1034,6490,0.099251295834133,60,1034,10418,0.199602122015915,60,301,1508,0.705736690053652,141,1710,2423,2021/08/04,,2,59,8,59,12,59,24,59,26,59,24,59,24,59,11,59,0,60,2,59,9,59,8,59,9,59,9,59,16,59,10,59,5,59,0,60,11,60
TX,26,114,455,24,116,455,69,590,68143,595,52861,595,9436,590,1441,595,582,590,35,590,87,590,6261,595,2371,590,2344,595,9213,590,8702,595,223,590,161,590,7110,595,0.775736319211071,595,52861,68143,0.180641703040049,590,9436,52236,0.140020774595637,590,9436,67390,0.341987595557479,590,2371,6933,0.880590717299578,595,6261,7110,2021/08/04,,9,595,96,595,189,595,206,595,268,595,202,595,253,595,129,595,89,595,9,590,72,590,47,590,76,590,84,590,93,590,90,590,52,590,59,590,87,590
UT,1,49,9,1,49,9,0,58,6222,59,3809,59,364,58,67,59,0,58,3,58,0,58,407,59,147,58,147,59,360,58,349,59,4,58,0,58,630,59,0.612182577949212,59,3809,6222,0.096808510638298,58,364,3760,0.059225512528474,58,364,6146,0.240196078431373,58,147,612,0.646031746031746,59,407,630,2021/08/04,,0,59,6,59,6,59,14,59,7,59,9,59,14,59,11,59,0,59,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,4,58
VA,15,70,20,18,67,20,30,102,18090,105,13031,105,741,102,80,105,162,102,2,102,11,102,1283,105,166,102,161,105,731,102,625,105,10,102,5,102,1926,105,0.720342730790492,105,13031,18090,0.057508731082654,102,741,12885,0.041570827489481,102,741,17825,0.089055793991416,102,166,1864,0.666147455867082,105,1283,1926,2021/08/04,,0,104,7,104,12,104,13,104,18,104,13,104,9,105,7,104,1,105,1,102,11,101,7,101,11,101,31,101,31,101,39,101,30,101,1,102,6,102
VI,2,0,0,2,0,0,4,2,168,2,121,2,28,2,4,2,0,2,0,2,0,2,12,2,6,2,6,2,28,2,28,2,0,2,0,2,20,2,0.720238095238095,2,121,168,0.231404958677686,2,28,121,0.166666666666667,2,28,168,0.3,2,6,20,0.6,2,12,20,2021/08/04,,0,2,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,2
