state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used
PA,29,189,6,36,182,6,20,218,30651,224,26200,224,2753,218,291,224,369,218,10,217,36,216,3009,224,615,218,596,224,2650,218,2293,224,103,218,51,218,3676,224,0.854784509477668,224,26200,30651,0.106109076893428,218,2753,25945,0.090930109657815,218,2753,30276,0.172268907563025,218,615,3570,0.818552774755169,224,3009,3676,2021/09/12,,0,220,9,220,21,219,30,219,59,220,56,219,45,219,38,219,33,214,2,214,29,214,25,213,45,213,57,213,67,212,72,213,62,213,10,209,31,218,4386,6271,3626,1198,8,88
PR,0,10,55,0,10,55,8,64,9400,65,5798,65,334,64,7,65,25,64,2,64,9,64,474,65,87,64,60,65,306,64,260,65,28,64,9,64,670,65,0.616808510638298,65,5798,9400,0.058979339572665,64,334,5663,0.036268867412314,64,334,9209,0.1359375,64,87,640,0.707462686567164,65,474,670,2021/09/12,,0,65,1,65,1,65,0,65,0,65,0,65,3,65,2,65,0,65,0,64,0,64,2,64,0,64,2,64,2,64,12,64,5,64,2,64,10,64,0,42,1046,0,0,37
RI,6,6,2,6,6,2,3,13,2461,14,2223,14,105,13,13,14,3,13,0,13,0,13,136,14,26,13,24,14,103,13,99,14,2,13,2,13,154,14,0.903291344981715,14,2223,2461,0.048431734317343,13,105,2168,0.043731778425656,13,105,2401,0.179310344827586,13,26,145,0.883116883116883,14,136,154,2021/09/12,,0,14,1,14,5,14,1,14,0,14,1,14,2,14,3,14,0,14,0,13,0,13,0,13,1,13,1,13,0,13,0,13,1,13,0,13,2,13,83,266,32,0,0,8
SC,32,51,5,31,52,5,9,86,11782,88,10000,88,2379,86,297,88,90,86,6,86,4,86,1227,88,561,86,570,88,2344,86,2293,88,35,86,31,86,1431,88,0.848752334068919,88,10000,11782,0.241009016310404,86,2379,9871,0.204821351700387,86,2379,11615,0.403306973400431,86,561,1391,0.857442348008386,88,1227,1431,2021/09/12,,0,88,16,88,33,88,35,88,52,88,72,88,53,88,34,88,2,83,1,86,5,86,9,86,6,86,13,86,21,86,16,86,17,86,2,81,49,86,3043,2689,1300,1668,0,1
SD,1,61,3,2,60,3,34,62,2841,65,1806,65,214,62,28,65,15,62,1,62,3,62,166,65,60,62,60,65,208,62,195,65,6,62,4,62,252,65,0.635691657866948,65,1806,2841,0.121177802944507,62,214,1766,0.077144917087239,62,214,2774,0.24896265560166,62,60,241,0.658730158730159,65,166,252,2021/09/12,,0,65,1,65,3,65,4,65,3,65,5,65,6,65,6,65,0,65,0,62,1,62,0,62,0,62,1,62,4,62,5,62,4,62,0,62,2,62,907,134,524,374,0,160
TN,27,72,43,45,54,43,42,100,19795,142,13790,131,3371,100,320,100,55,100,4,100,6,100,1947,139,956,100,936,100,3333,100,3207,100,38,100,32,100,2429,142,0.720781936023416,131,13790,19132,0.285605354570872,100,3371,11803,0.208446697996537,100,3371,16172,0.436330442720219,100,956,2191,0.81328320802005,139,1947,2394,2021/09/12,,5,100,22,100,29,100,27,100,61,100,59,100,37,100,39,100,41,100,0,100,4,100,9,100,9,100,8,100,6,100,7,100,3,100,9,100,58,100,9,0,564,1,0,340
TX,19,99,478,19,99,478,86,591,69179,596,56157,596,13371,591,1284,596,601,591,46,591,138,591,7364,596,3683,591,3646,596,13028,591,12458,596,343,591,265,591,7891,596,0.811763685511499,596,56157,69179,0.240849484833201,591,13371,55516,0.195528193729527,591,13371,68384,0.478560291060291,591,3683,7696,0.933215055126093,596,7364,7891,2021/09/12,,13,596,88,596,136,596,181,596,235,596,222,596,183,596,139,596,87,596,7,591,59,591,71,591,68,591,88,591,93,591,86,591,57,591,72,591,214,591,11803,1650,2535,11642,0,119
UT,2,48,9,2,48,9,0,58,6271,59,4102,59,570,58,79,59,3,58,2,58,0,58,476,59,210,58,212,59,560,58,541,59,10,58,1,58,614,59,0.65412214957742,59,4102,6271,0.140984417511749,58,570,4043,0.091979990317896,58,570,6197,0.347682119205298,58,210,604,0.775244299674267,59,476,614,2021/09/12,,0,59,9,59,10,59,13,59,11,59,18,59,13,59,5,59,0,59,0,58,1,58,0,58,1,58,0,58,1,58,0,58,0,58,0,58,3,58,186,224,110,129,0,4
VA,19,68,20,20,67,20,36,104,18332,107,14156,107,2078,104,220,107,220,104,9,104,16,104,1483,107,471,104,460,107,2046,104,1832,107,32,104,19,104,1943,107,0.772201614662885,107,14156,18332,0.148534667619728,104,2078,13990,0.114901852363837,104,2078,18085,0.249338274219164,104,471,1889,0.763252702007205,107,1483,1943,2021/09/12,,0,107,13,107,22,107,23,107,37,107,35,107,47,107,34,107,9,107,1,104,13,104,24,104,19,104,44,104,33,104,40,104,46,104,0,104,36,104,1282,4715,729,743,0,16
VI,2,0,0,2,0,0,0,2,168,2,111,2,7,2,0,2,0,2,0,2,0,2,12,2,2,2,2,2,7,2,7,2,0,2,0,2,20,2,0.660714285714286,2,111,168,0.063063063063063,2,7,111,0.041666666666667,2,7,168,0.1,2,2,20,0.6,2,12,20,2021/09/12,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,192,17,136,13,0,0
