state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
OR,7,53,4,10,52,2,57,62,7090,64,5705,64,1277,62,127,64,98,62,8,62,10,62,598,64,172,62,151,64,1222,62,1087,64,55,62,36,62,744,64,0.804654442877292,64,5705,7090,0.227629233511586,62,1277,5610,0.184032281308546,62,1277,6939,0.239221140472879,62,172,719,0.803763440860215,64,598,744,2022/01/22,,1,62,8,59,14,60,12,59,16,60,23,59,28,60,21,60,4,64,0,61,7,56,8,57,10,57,11,57,18,57,15,57,29,57,0,62,13,47,1088,264,969,146,0,232,1,58,0,58,0,41,0,41,2,5,41,58
PA,38,180,6,46,172,6,125,218,30900,224,26841,224,6244,218,607,224,406,218,25,218,37,218,3163,224,965,218,956,224,6045,218,5608,224,199,218,143,218,3781,224,0.868640776699029,224,26841,30900,0.234948826008429,218,6244,26576,0.204486654658588,218,6244,30535,0.262513601741023,218,965,3676,0.836551176937318,224,3163,3781,2022/01/22,,3,221,27,216,38,214,38,214,78,216,125,217,138,216,138,216,25,218,6,213,21,210,32,209,34,210,66,209,73,209,87,209,74,207,14,213,72,203,6024,2661,4277,214,0,130,2,217,6,217,0,197,0,197,35,6,197,217
PR,0,12,54,3,9,54,15,65,9298,66,5656,66,757,65,41,66,18,65,7,65,7,65,484,66,124,65,85,66,727,65,613,66,30,65,20,65,674,66,0.608302860830286,66,5656,9298,0.13733671988389,65,757,5512,0.083141131246568,65,757,9105,0.192546583850932,65,124,644,0.718100890207715,66,484,674,2022/01/22,,0,65,2,65,4,66,2,65,2,66,7,66,9,66,13,66,2,66,0,64,0,64,0,64,0,64,4,64,2,64,2,64,6,64,4,65,3,10,60,20,751,0,0,2,1,65,3,65,0,8,0,8,21,1,8,65
RI,1,1,13,7,6,2,31,14,2329,15,2059,15,341,14,33,15,8,14,0,14,1,14,125,15,40,14,40,15,330,14,322,15,11,14,8,14,136,15,0.884070416487763,15,2059,2329,0.165614375910636,14,341,2059,0.146414770287677,14,341,2329,0.294117647058824,14,40,136,0.919117647058824,15,125,136,2022/01/22,,0,15,2,15,4,15,0,15,2,15,10,15,6,15,9,15,0,15,0,14,0,14,0,14,1,14,2,14,1,14,2,14,2,14,0,14,0,2,26,0,317,0,0,0,0,8,1,8,0,2,0,2,1,0,2,8
SC,23,58,5,25,56,5,35,84,11957,86,9695,86,2657,84,450,86,62,84,17,83,0,83,1111,86,433,84,436,86,2609,84,2542,86,48,84,47,84,1333,86,0.810822112570043,86,9695,11957,0.277348643006263,84,2657,9580,0.225188575302992,84,2657,11799,0.335139318885449,84,433,1292,0.833458364591148,86,1111,1333,2022/01/22,,3,83,30,82,21,82,36,80,63,80,100,81,107,81,88,80,2,86,1,82,1,80,1,78,4,79,10,77,12,78,18,78,11,78,4,84,31,69,1926,1888,2272,63,203,115,2,83,3,83,0,66,0,66,24,3,66,83
SD,2,59,3,6,55,3,75,61,2422,64,1728,64,404,61,56,64,15,61,7,61,0,61,161,64,74,61,74,64,381,61,354,64,23,61,17,61,246,64,0.71345995045417,64,1728,2422,0.238067177371833,61,404,1697,0.171477079796265,61,404,2356,0.312236286919831,61,74,237,0.654471544715447,64,161,246,2022/01/22,,1,59,2,48,8,50,6,48,6,49,11,49,12,50,9,49,1,64,0,58,0,45,1,45,0,45,0,45,3,46,6,46,4,45,1,61,1,17,518,8,1193,67,0,101,1,61,2,61,0,15,0,15,16,2,15,61
TN,31,91,10,51,71,10,255,129,17693,132,13382,132,3432,129,397,132,80,129,13,129,1,129,1667,132,636,129,642,132,3357,129,3205,132,75,129,71,129,2016,132,0.75634431696151,132,13382,17693,0.261565429464218,129,3432,13121,0.197638928879931,129,3432,17365,0.330046704722366,129,636,1927,0.826884920634921,132,1667,2016,2022/01/22,,2,131,23,131,30,131,31,131,58,131,79,131,85,132,63,131,26,132,1,129,8,128,7,128,5,128,10,128,16,127,20,127,7,128,6,129,48,123,84,279,183,50,0,17,4,78,3,78,0,121,0,121,45,13,70,78
TX,7,92,490,12,87,490,351,589,66961,589,52923,589,14121,589,1978,589,402,589,119,589,199,589,6312,589,2868,589,2776,589,13528,589,12927,589,593,589,494,589,6588,589,0.790355580113798,589,52923,66961,0.266821608752338,589,14121,52923,0.210883947372351,589,14121,66961,0.435336976320583,589,2868,6588,0.958105646630237,589,6312,6588,2022/01/22,,13,589,135,588,135,588,168,588,264,588,394,588,404,588,356,588,109,589,3,589,28,588,47,588,39,588,50,588,76,588,71,588,62,588,26,589,179,585,4834,702,3012,154,0,6,10,135,18,135,0,105,0,105,113,22,105,135
UT,2,46,9,3,45,9,12,56,5823,57,3572,57,834,56,150,57,0,56,13,56,0,56,447,57,179,56,181,57,774,56,726,57,60,56,1,56,560,57,0.613429503692255,57,3572,5823,0.236864527122976,56,834,3521,0.145169712793734,56,834,5745,0.325454545454545,56,179,550,0.798214285714286,57,447,560,2022/01/22,,1,56,32,55,19,55,14,55,15,55,28,55,27,55,13,56,1,57,0,56,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,56,1,44,551,0,1488,15,0,0,1,56,3,56,0,44,0,44,13,0,44,56
VA,19,66,20,25,60,20,408,102,17558,105,13834,105,3373,102,398,105,248,102,12,102,13,102,1490,105,554,102,563,105,3297,102,3153,105,76,102,67,102,1908,105,0.787902950222121,105,13834,17558,0.246294267981015,102,3373,13695,0.194398017405337,102,3373,17351,0.298170075349838,102,554,1858,0.780922431865828,105,1490,1908,2022/01/22,,2,103,21,102,29,102,27,103,59,102,77,102,109,102,72,102,2,105,0,101,20,100,16,99,8,98,33,99,46,99,69,99,56,98,0,102,49,78,1342,1623,1847,183,10,165,4,101,6,101,0,77,0,77,48,14,77,101
