state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_bed_occupied_coverage,all_pediatric_inpatient_beds,all_pediatric_inpatient_beds_coverage,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_0_4_coverage,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_pediatric_covid_confirmed_12_17_coverage, previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_5_11_coverage,previous_day_admission_pediatric_covid_confirmed_unknown,previous_day_admission_pediatric_covid_confirmed_unknown_coverage,staffed_icu_pediatric_patients_confirmed_covid,staffed_icu_pediatric_patients_confirmed_covid_coverage,staffed_pediatric_icu_bed_occupancy,staffed_pediatric_icu_bed_occupancy_coverage,total_staffed_pediatric_icu_beds,total_staffed_pediatric_icu_beds_coverage
AS,0,1,0,0,1,0,0,1,150,1,65,1,0,1,0,1,0,1,0,1,0,1,4,1,1,1,0,1,0,1,0,1,0,1,0,1,7,1,0.433333333333333,1,65,150,0,1,0,65,0,1,0,150,0.142857142857143,1,1,7,0.571428571428571,1,4,7,2022/08/07,,0,1,,0,,0,,0,,0,,0,,0,,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,0,1,,0,426,,10,0,,0,0,1,0,1,,0,,0,0,,0,1,8,1,28,1,0,1,,0,,0,0,1,0,1,0,1,0,1
VI,0,2,0,2,0,0,0,2,168,2,116,2,5,2,2,2,0,2,0,2,0,2,10,2,0,2,0,2,5,2,5,2,0,2,0,2,20,2,0.69047619047619,2,116,168,0.043103448275862,2,5,116,0.029761904761905,2,5,168,0,2,0,20,0.5,2,10,20,2022/08/07,,0,1,,0,1,1,,0,,0,,0,,0,,0,1,2,0,2,,0,,0,,0,,0,,0,,0,,0,0,2,,0,146,,126,0,,30,0,2,0,2,,0,,0,0,,0,2,5,2,18,2,0,2,,0,,0,0,2,0,2,0,2,6,2
AK,1,21,2,4,18,2,2,24,1899,24,1508,24,72,24,16,24,1,24,0,24,0,24,122,24,6,24,6,24,64,24,64,24,8,24,6,24,147,24,0.794102159031069,24,1508,1899,0.047745358090186,24,72,1508,0.037914691943128,24,72,1899,0.040816326530612,24,6,147,0.829931972789116,24,122,147,2022/08/07,,0,23,0,20,6,21,0,20,1,20,3,21,1,20,5,21,0,24,0,24,0,20,0,20,1,20,0,20,0,20,0,20,0,20,0,24,2,10,494,0,640,0,0,0,0,24,0,24,0,9,0,9,3,0,10,24,112,24,191,24,0,24,0,20,0,20,0,24,2,24,8,24,8,24
CA,8,120,278,111,258,37,87,398,63909,406,49983,406,4456,398,656,406,282,398,29,397,16,397,4801,406,481,398,462,406,4289,398,3978,406,167,398,153,397,6619,406,0.782096418344834,406,49983,63909,0.090238963142973,398,4456,49380,0.070569976086027,398,4456,63143,0.074458204334365,398,481,6460,0.725336153497507,406,4801,6619,2022/08/07,,4,401,43,392,99,394,53,394,65,394,94,394,128,394,173,395,1,404,3,397,24,385,29,385,26,386,42,386,58,386,48,386,52,386,0,398,7,120,8995,961,3609,305,0,1,6,398,13,398,0,348,0,348,36,16,348,398,2381,397,3717,397,13,396,10,386,5,383,1,394,30,396,630,397,967,397
FL,5,191,70,32,175,59,146,260,57969,266,44998,266,4137,260,683,266,196,260,33,260,16,260,4481,266,456,260,444,266,4054,260,3802,266,83,260,73,260,6218,266,0.776242474425986,266,44998,57969,0.093148402494765,260,4137,44413,0.072217858078031,260,4137,57285,0.07479088076103,260,456,6097,0.720649726600193,266,4481,6218,2022/08/07,,6,258,33,250,38,252,42,251,71,251,124,254,158,252,196,254,15,266,2,259,16,243,16,243,16,243,26,242,49,242,39,242,30,241,2,260,14,147,4057,0,2561,842,0,62,5,260,18,260,0,136,0,136,69,5,139,260,1714,260,2641,260,12,259,12,245,6,244,3,258,16,260,574,260,878,260
SC,20,63,5,24,59,5,19,86,11566,88,9211,88,635,86,100,88,36,86,1,86,1,86,909,88,88,86,87,88,620,86,602,88,15,86,11,86,1286,88,0.79638595884489,88,9211,11566,0.069634828380305,86,635,9119,0.055682216766047,86,635,11404,0.070682730923695,86,88,1245,0.706842923794712,88,909,1286,2022/08/07,,0,85,7,80,11,80,8,81,11,80,17,80,23,81,21,79,2,83,2,85,1,77,1,77,3,78,4,78,11,78,6,78,7,78,1,81,3,61,1574,1595,1626,0,0,0,1,86,4,86,0,53,0,53,14,1,53,86,407,86,610,86,1,86,0,78,0,78,0,81,5,86,59,86,97,86
MN,4,1,134,20,88,31,23,138,9442,139,8015,139,588,138,85,139,16,138,4,138,0,138,620,139,41,138,37,139,561,138,517,139,27,138,22,138,795,139,0.848866765515781,139,8015,9442,0.074411541381929,138,588,7902,0.06324620845434,138,588,9297,0.052835051546392,138,41,776,0.779874213836478,139,620,795,2022/08/07,,2,139,9,139,13,139,10,139,7,139,10,139,17,139,17,139,0,139,1,138,2,138,1,138,1,138,0,138,5,138,3,138,3,137,0,138,0,6,3728,0,3563,0,0,0,0,138,0,138,0,5,0,5,2,0,5,138,538,138,649,138,1,138,2,138,1,138,0,138,7,138,91,138,184,138
OK,6,41,98,30,105,10,3,143,10233,145,7383,145,413,143,88,145,35,143,4,143,1,143,698,145,86,143,81,145,381,143,357,145,32,143,31,143,933,145,0.721489299325711,145,7383,10233,0.056871385293308,143,413,7262,0.040968157920841,143,413,10081,0.095449500554939,143,86,901,0.748124330117899,145,698,933,2022/08/07,,1,144,11,136,8,137,9,137,9,136,11,137,19,136,19,136,1,145,0,142,2,133,2,133,1,133,3,133,6,133,12,134,9,133,0,143,2,39,2455,359,1571,0,0,0,0,143,1,143,0,35,0,35,4,1,35,143,606,143,806,143,1,143,2,132,0,133,1,134,2,143,99,143,137,143
MO,7,90,39,31,79,26,43,132,16387,136,13690,136,964,132,105,136,140,132,4,132,11,132,1281,136,133,132,105,136,915,132,783,136,49,132,32,132,1720,136,0.835418319399524,136,13690,16387,0.071566443949517,132,964,13470,0.059786653435872,132,964,16124,0.080508474576271,132,133,1652,0.744767441860465,136,1281,1720,2022/08/07,,0,131,9,119,10,119,7,118,10,118,15,118,31,120,24,120,0,136,1,130,10,112,8,111,14,112,27,113,25,114,29,113,26,112,0,132,2,58,2652,287,1415,0,0,0,0,132,1,132,0,55,0,55,6,0,55,132,918,132,1211,132,1,131,2,111,1,112,0,132,11,132,202,132,227,132
WV,0,8,55,23,36,4,27,59,5755,63,4751,63,449,59,66,63,57,59,1,59,2,59,457,63,50,59,56,63,433,59,438,63,16,59,13,59,600,63,0.825543006081668,63,4751,5755,0.095735607675906,59,449,4690,0.079440905874027,59,449,5652,0.088967971530249,59,50,562,0.761666666666667,63,457,600,2022/08/07,,0,63,5,63,3,63,4,63,5,63,9,63,21,63,17,63,2,63,2,59,2,59,1,59,8,59,6,59,17,59,14,59,7,59,0,59,0,7,0,0,31,0,0,0,0,59,1,59,0,7,0,7,10,2,7,59,302,59,421,59,1,59,0,59,0,59,0,8,7,59,105,59,114,59
