County,Facility Name,Active Positive Residents,Active Positve Staff,COVID-19 Associated Deaths,Recovered Residents,Recovered Staff,Cumulative Residents,Cumulative Staff,Cumulative COVID-19 Deaths,Active Outbreak
Barbour,Good Samaritan Society of Barbour County,0,2,0,0,8,0,10,0,Yes
Barbour,Mansfield Place,1,1,0,3,4,4,5,0,Yes
Berkeley,Care Haven Center,38,24,4,16,9,54,33,4,Yes
Berkeley,Stonerise Martinsburg (Clary Grove),0,5,0,1,1,1,6,0,Yes
Boone,Hillcrest Health Care Center,0,0,0,0,0,32,24,10,No
Braxton,Braxton Health Care Center,0,0,0,0,0,0,1,0,No
Brooke,Brightwood Center,4,2,0,7,4,11,6,0,Yes
Brooke,Stonerise Wellsburg (Wellsburg-Valley Center),1,7,8,39,24,40,31,8,Yes
Cabell,Cabell Health Care Center,0,1,0,0,3,0,7,0,Yes
Cabell,Heritage Center,81,33,4,4,21,85,54,4,Yes
Cabell,Huntington Health and Rehabilitation Center,4,3,21,89,63,114,66,21,Yes
Cabell,Madison Park Healthcare,0,1,0,0,4,2,14,1,Yes
Cabell,St. Mary's Hospital,0,0,0,0,0,2,10,0,No
Calhoun,Minnie Hamilton Health Care,0,0,0,0,0,0,5,0,No
Clay,Clay Health Care Center,0,0,0,0,0,0,4,0,No
Fayette,Ansted Center,0,0,0,0,0,0,3,0,No
Fayette,Fayette Nursing and Rehabilitation Center,0,0,0,0,3,12,9,2,Yes
Fayette,Hidden Valley Center,0,0,0,0,0,0,5,0,No
Fayette,Hilltop Center,4,2,0,0,0,5,5,0,Yes
Fayette,Montgomery General Elderly Care,0,1,5,40,18,40,19,5,Yes
Fayette,Montgomery General Hospital (Skilled Nursing),0,0,0,0,0,7,12,4,No
Gilmer,Glenville Center,0,0,0,0,0,1,3,0,No
Grant,Grant Rehabilitation and Care Center,0,1,0,2,9,50,29,6,Yes
Greenbrier,Greenbrier Health Care Center,0,0,0,0,0,0,0,0,No
Greenbrier,Stonerise Lewisburg (Lewisburg Center),48,21,11,0,7,52,33,11,Yes
Greenbrier,Stonerise Rainelle (Meadow Garden),0,1,0,0,0,0,2,0,Yes
Greenbrier,White Sulphur Springs Center,0,0,0,0,0,5,0,0,No
Hampshire,Hampshire Center,13,6,0,0,6,0,15,0,Yes
Hampshire,Hampshire Memorial Hospital,28,25,0,0,3,28,30,0,Yes
Hancock,Stone Pear Pavilion,42,9,1,4,7,46,16,1,Yes
Hancock,Weirton Geriatric Center,27,29,7,19,36,46,65,7,Yes
Hancock,Weirton Medical Center,7,3,1,2,4,12,14,1,Yes
Hardy,E.A. Hawse Nursing and Rehabilitation Center,5,3,0,0,3,5,6,0,Yes
